level;type;description;file;line 
error;brief;brief description missing for symbol -> REMOTESIGNALROUTER_BDP_TV_01_RECEIVED_TIME_OUT -  define;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;72
error;brief;brief description missing for symbol -> REMOTESIGNALROUTER_ELF_02_RECEIVED_TIME_OUT -  define;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;81
error;brief;brief description missing for symbol -> REMOTESIGNALROUTER_FOD_01_RECEIVED_TIME_OUT -  define;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;90
error;brief;brief description missing for symbol -> REMOTESIGNALROUTER_ORU_01_RECEIVED_TIME_OUT -  define;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;99
error;brief;brief description missing for symbol -> const uint8 RemoteSignalRouter_Mask_BDP_TV_01 - [8] variable;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;119
error;brief;brief description missing for symbol -> const uint8 RemoteSignalRouter_Mask_ELF_02 - [8] variable;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;138
error;brief;brief description missing for symbol -> const uint8 RemoteSignalRouter_Mask_FoD_01 - [8] variable;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;153
error;brief;brief description missing for symbol -> const uint8 RemoteSignalRouter_Mask_ORU_01 - [8] variable;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;174
error;brief;brief description missing for symbol -> uint32 RemoteSignalRouter_BDP_TV_01_Received_TimeOut -  variable;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;190
error;brief;brief description missing for symbol -> uint32 RemoteSignalRouter_ELF_02_Received_TimeOut -  variable;D:/git/chorus/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;202
