level;type;description;file;line 
error;brief;brief description missing for symbol -> Std_ReturnType(* T_S_Adaptation_EL::func) (uint8 *data) - )(uint8 *data) variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1009
error;brief;brief description missing for symbol -> uint8 T_S_Adaptation_EL::min -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1010
error;brief;brief description missing for symbol -> uint8 T_S_Adaptation_EL::max -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1011
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::BAP_fnc_List_EL[0x06u] - [0x06u] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1020
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::TFL_Abschaltung_v_HMI -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1021
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::v_funktionsabschaltung_HMI -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1022
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::DLI_LWR_konfig -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1023
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::lightAnimation_config1 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1024
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::lightAnimation_config2 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1025
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::cho_aktivierung_modus -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1026
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::blinkersignaturen -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1027
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::fahrlicht_bei_tag -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1028
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::tfl_mmi_affengriff_erlaubt -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1029
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::touristenlich_verbaut -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1030
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::lho_freigabe -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1031
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::lichtsensor_Typ -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1032
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::adaptiveLightSystem_Verbaut -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1033
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::fla_mmi -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1034
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::fernlichtArchitektur -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1035
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::pc_marke -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1036
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::DLI_Rechts_Links_Verkehr -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1037
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::signaturlicht_verbaut -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1038
error;brief;brief description missing for symbol -> uint8 T_S_BAP_Coding_EL::animationsfreigabe_Audi -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_EL/c/inc/BAPHandler_EL_DataTypes.h;1039
