level;type;description;file;line 
error;security;security rating missing for symbol -> void BAPHandler_IL2_Start - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;54
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void BAPHandler_IL2_Start - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;54
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void BAPHandler_IL2_Start - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;54
error;test;No test cases linked or code review tag missing for symbol -> void BAPHandler_IL2_Start - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;54
error;security;security rating missing for symbol -> void BAPHandler_IL2_Stop - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;60
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void BAPHandler_IL2_Stop - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;60
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void BAPHandler_IL2_Stop - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;60
error;test;No test cases linked or code review tag missing for symbol -> void BAPHandler_IL2_Stop - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;60
error;security;security rating missing for symbol -> void BAPHandler_IL2_TaskCyclicEvent - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;66
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void BAPHandler_IL2_TaskCyclicEvent - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;66
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void BAPHandler_IL2_TaskCyclicEvent - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;66
error;test;No test cases linked or code review tag missing for symbol -> void BAPHandler_IL2_TaskCyclicEvent - (void) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_IL2/c/src/BAPHandler_IL2_Task.c;66
