level;type;description;file;line 
error;brief;brief description missing for symbol -> uint16 tconstDWAX_Msg::rearmTmr -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;152
error;brief;brief description missing for symbol -> CAN_State tconstDWAX_Msg::comChn -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;153
error;brief;brief description missing for symbol -> uint8* tconstDWAX_Msg::iPduStatusRef -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;154
error;enum;enum variable<DWAX_CAN_COUNTER> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;102
error;enum;enum variable<DWAX_SAM_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;165
error;enum;enum variable<DWAX_TM_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;165
error;enum;enum variable<DWAX_BCM_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;165
error;enum;enum variable<DWAX_Anhaenger_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;165
error;enum;enum variable<DWAX_PDU_NUM> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_DataTypes.h;165
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType NvmSingleDWA_SireneMasterCodeCbk - (NvM_ServiceIdType a_uServ, NvM_RequestResultType a_uRequest) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_NvRam.h;117
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType NvmSingleDWA_SireneMasterCodeCbk - (NvM_ServiceIdType a_uServ, NvM_RequestResultType a_uRequest) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_NvRam.h;117
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWAX_MessageCounterProcedure - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;395
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void DWAX_MessageCounterProcedure - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;395
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWAX_MasterCodeGeneration - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;434
