level;type;description;file;line 
error;security;security rating missing for symbol -> static void getRandomNumber - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;604
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void getRandomNumber - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;604
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void getRandomNumber - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;604
error;security;security rating missing for symbol -> void CsH_CryptoOperations_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;611
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CsH_CryptoOperations_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;611
error;security;security rating missing for symbol -> void CsH_Call_Ev_StCryptoKY_evCalcChallengeResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;617
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CsH_Call_Ev_StCryptoKY_evCalcChallengeResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;617
error;security;security rating missing for symbol -> void CsH_Call_Ev_StCryptoKY_evCalcSignatureResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;622
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CsH_Call_Ev_StCryptoKY_evCalcSignatureResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;622
error;security;security rating missing for symbol -> void CsH_Call_Ev_StCryptoKY_evCheckRSADSignatureResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;627
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CsH_Call_Ev_StCryptoKY_evCheckRSADSignatureResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;627
error;security;security rating missing for symbol -> void CsH_Call_Ev_StCryptoKY_evCheckSignatureResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;632
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CsH_Call_Ev_StCryptoKY_evCheckSignatureResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;632
error;security;security rating missing for symbol -> void CsH_Call_Ev_StCryptoKY_evEncryptResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;637
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CsH_Call_Ev_StCryptoKY_evEncryptResp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;637
error;return;return value not described for symbol -> Std_ReturnType evEncryptReq - (const uint8 *rawInputData, uint8 enSKC, const uint8 *rawKey);D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;647
error;security;security rating missing for symbol -> Std_ReturnType evEncryptReq - (const uint8 *rawInputData, uint8 enSKC, const uint8 *rawKey) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;647
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType evEncryptReq - (const uint8 *rawInputData, uint8 enSKC, const uint8 *rawKey) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;647
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType evEncryptReq - (const uint8 *rawInputData, uint8 enSKC, const uint8 *rawKey)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;647
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType evEncryptReq - (const uint8 *rawInputData, uint8 enSKC, const uint8 *rawKey) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;647
error;return;return value not described for symbol -> Std_ReturnType evCalcChallengeReq - (void);D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;722
error;security;security rating missing for symbol -> Std_ReturnType evCalcChallengeReq - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;722
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType evCalcChallengeReq - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;722
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType evCalcChallengeReq - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;722
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType evCalcChallengeReq - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;722
error;return;return value not described for symbol -> Std_ReturnType evCalcSignatureReq - (boolean bMarkerDirection, const uint8 *rawFreshnessValue, const uint8 *rawNutzdaten, uint8 numNutzdatenLength);D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;762
error;security;security rating missing for symbol -> Std_ReturnType evCalcSignatureReq - (boolean bMarkerDirection, const uint8 *rawFreshnessValue, const uint8 *rawNutzdaten, uint8 numNutzdatenLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;762
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType evCalcSignatureReq - (boolean bMarkerDirection, const uint8 *rawFreshnessValue, const uint8 *rawNutzdaten, uint8 numNutzdatenLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;762
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType evCalcSignatureReq - (boolean bMarkerDirection, const uint8 *rawFreshnessValue, const uint8 *rawNutzdaten, uint8 numNutzdatenLength)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;762
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType evCalcSignatureReq - (boolean bMarkerDirection, const uint8 *rawFreshnessValue, const uint8 *rawNutzdaten, uint8 numNutzdatenLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;762
error;return;return value not described for symbol -> Std_ReturnType evCheckRSADSignatureReq - (const uint8 *rawInputData, uint8 numInputDataLength, const uint8 *rawSignatureToCheck, uint8 numSignatureLength);D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;800
error;security;security rating missing for symbol -> Std_ReturnType evCheckRSADSignatureReq - (const uint8 *rawInputData, uint8 numInputDataLength, const uint8 *rawSignatureToCheck, uint8 numSignatureLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;800
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType evCheckRSADSignatureReq - (const uint8 *rawInputData, uint8 numInputDataLength, const uint8 *rawSignatureToCheck, uint8 numSignatureLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;800
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType evCheckRSADSignatureReq - (const uint8 *rawInputData, uint8 numInputDataLength, const uint8 *rawSignatureToCheck, uint8 numSignatureLength)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;800
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType evCheckRSADSignatureReq - (const uint8 *rawInputData, uint8 numInputDataLength, const uint8 *rawSignatureToCheck, uint8 numSignatureLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;800
error;return;return value not described for symbol -> Std_ReturnType CheckSignature_ZKA - (boolean bMarkerDirection, const uint8 *rawFreshnessValue, const uint8 *rawNutzdaten, uint8 numNutzdatenLength, const uint8 *rawSignatureToCheck, uint8 numSignatureLength);D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;834
error;security;security rating missing for symbol -> Std_ReturnType CheckSignature_ZKA - (boolean bMarkerDirection, const uint8 *rawFreshnessValue, const uint8 *rawNutzdaten, uint8 numNutzdatenLength, const uint8 *rawSignatureToCheck, uint8 numSignatureLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;834
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType CheckSignature_ZKA - (boolean bMarkerDirection, const uint8 *rawFreshnessValue, const uint8 *rawNutzdaten, uint8 numNutzdatenLength, const uint8 *rawSignatureToCheck, uint8 numSignatureLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/CsH/c/src/CsH_CryptoOperations.c;834
