level;type;description;file;line 
error;security;security rating missing for symbol -> static Std_ReturnType DecrementAgingCounterForDTCs - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;192
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType DecrementAgingCounterForDTCs - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;192
error;param;param <void> has no description;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;231
error;security;security rating missing for symbol -> static Std_ReturnType UpadateAgingCounterForDiagnose_01 - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;231
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType UpadateAgingCounterForDiagnose_01 - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;231
error;test;No test cases linked or code review tag missing for symbol -> static Std_ReturnType UpadateAgingCounterForDiagnose_01 - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;231
error;param;param <void> has no description;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;272
error;security;security rating missing for symbol -> static boolean DrivingCycleValidation - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;272
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean DrivingCycleValidation - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;272
error;security;security rating missing for symbol -> static boolean WarmUpCycleValidation - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;313
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean WarmUpCycleValidation - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;313
error;test;No test cases linked or code review tag missing for symbol -> static boolean WarmUpCycleValidation - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;313
error;security;security rating missing for symbol -> static void OperationCyclesRecognition - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;354
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void OperationCyclesRecognition - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;354
error;security;security rating missing for symbol -> static void OBD_DrivingCyclePreconditionsStateNvM - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;400
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void OBD_DrivingCyclePreconditionsStateNvM - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;400
error;param;param <void> has no description;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;444
error;security;security rating missing for symbol -> static void initAgingCounterForDiagnose_01 - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;444
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void initAgingCounterForDiagnose_01 - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;444
error;security;security rating missing for symbol -> void OperationCyclesMonitoring10ms - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;624
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void OperationCyclesMonitoring10ms - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;624
error;trace;satisfy or design decision tag missing for symbol -> void OperationCyclesMonitoring10ms - (void)function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;624
error;param;param <void> has no description;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;667
error;security;security rating missing for symbol -> boolean getDrivingCycleState - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;667
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean getDrivingCycleState - (void) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;667
error;trace;satisfy or design decision tag missing for symbol -> boolean getDrivingCycleState - (void)function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;667
error;security;security rating missing for symbol -> Std_ReturnType NVM_AgingCounter_SingleCbk - (NvM_ServiceIdType serv, NvM_RequestResultType request) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;679
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType NVM_AgingCounter_SingleCbk - (NvM_ServiceIdType serv, NvM_RequestResultType request) function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;679
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType NVM_AgingCounter_SingleCbk - (NvM_ServiceIdType serv, NvM_RequestResultType request)function;D:/GitICAS/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OperationCycleMenagement/c/src/OperationCycleMenagement.c;679
