level;type;description;file;line 
error;brief;brief description missing for symbol -> ListOfActivities_Export.Tag::file_name -  variable;ListOfActivities_Export.csv.py;31
error;brief;brief description missing for symbol -> ListOfActivities_Export.Tag::tag -  variable;ListOfActivities_Export.csv.py;32
error;brief;brief description missing for symbol -> def ListOfActivities_Export.Tag.__init__ - (self, file_name, tag) function;ListOfActivities_Export.csv.py;30
error;return;return value not described for symbol -> def ListOfActivities_Export.Tag.__init__ - (self, file_name, tag);ListOfActivities_Export.csv.py;30
error;security;security rating missing for symbol -> def ListOfActivities_Export.Tag.__init__ - (self, file_name, tag) function;ListOfActivities_Export.csv.py;30
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> def ListOfActivities_Export.Tag.__init__ - (self, file_name, tag) function;ListOfActivities_Export.csv.py;30
error;trace;satisfy or design decision tag missing for symbol -> def ListOfActivities_Export.Tag.__init__ - (self, file_name, tag)function;ListOfActivities_Export.csv.py;30
error;test;No test cases linked or code review tag missing for symbol -> def ListOfActivities_Export.Tag.__init__ - (self, file_name, tag) function;ListOfActivities_Export.csv.py;30
error;brief;brief description missing for symbol -> bool ListOfActivities_Export.verbose -  variable;ListOfActivities_Export.csv.py;6
error;brief;brief description missing for symbol -> ListOfActivities_Export.module_name -  variable;ListOfActivities_Export.csv.py;21
error;brief;brief description missing for symbol -> ListOfActivities_Export.path_to_doc -  variable;ListOfActivities_Export.csv.py;22
error;brief;brief description missing for symbol -> ListOfActivities_Export.path_to_design -  variable;ListOfActivities_Export.csv.py;23
error;brief;brief description missing for symbol -> string ListOfActivities_Export.tag_pattern -  variable;ListOfActivities_Export.csv.py;25
error;brief;brief description missing for symbol -> list ListOfActivities_Export.tag_list -  variable;ListOfActivities_Export.csv.py;26
error;brief;brief description missing for symbol -> list ListOfActivities_Export.unique_tag_list -  variable;ListOfActivities_Export.csv.py;27
error;brief;brief description missing for symbol -> ListOfActivities_Export.fin -  variable;ListOfActivities_Export.csv.py;51
error;brief;brief description missing for symbol -> def ListOfActivities_Export.ln -  variable;ListOfActivities_Export.csv.py;54
error;brief;brief description missing for symbol -> def ListOfActivities_Export.ln_tag_list -  variable;ListOfActivities_Export.csv.py;55
error;brief;brief description missing for symbol -> ListOfActivities_Export.tag_id -  variable;ListOfActivities_Export.csv.py;65
error;brief;brief description missing for symbol -> int ListOfActivities_Export::count -  variable;ListOfActivities_Export.csv.py;70
error;brief;brief description missing for symbol -> ListOfActivities_Export.fout -  variable;ListOfActivities_Export.csv.py;77
error;brief;brief description missing for symbol -> def ListOfActivities_Export.sanitize_tag - (text) function;ListOfActivities_Export.csv.py;34
error;return;return value not described for symbol -> def ListOfActivities_Export.sanitize_tag - (text);ListOfActivities_Export.csv.py;34
error;security;security rating missing for symbol -> def ListOfActivities_Export.sanitize_tag - (text) function;ListOfActivities_Export.csv.py;34
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> def ListOfActivities_Export.sanitize_tag - (text) function;ListOfActivities_Export.csv.py;34
error;trace;satisfy or design decision tag missing for symbol -> def ListOfActivities_Export.sanitize_tag - (text)function;ListOfActivities_Export.csv.py;34
error;test;No test cases linked or code review tag missing for symbol -> def ListOfActivities_Export.sanitize_tag - (text) function;ListOfActivities_Export.csv.py;34
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Send_SWC_PORT_SIGNAL - (dataType sendSignal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;155
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Receive_SWC_PORT_SIGNAL - (dataType *signal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;214
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Read_SWC_PORT_SIGNAL - (dataType *recvSignal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;283
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Write_SWC_PORT_SIGNAL - (dataType sendsignal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;340
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType Rte_Write_SWC_PORT_SIGNAL - (dataType sendsignal)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;340
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Call_SWC_PORT_OPERATION - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;396
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType Rte_Call_SWC_PORT_OPERATION - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;396
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Datatype Rte_CData_calibrationparameter - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;453
error;trace;satisfy or design decision tag missing for symbol -> Datatype Rte_CData_calibrationparameter - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;453
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Datapointer* Rte_Pim_Pimname - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;507
error;trace;satisfy or design decision tag missing for symbol -> Datapointer* Rte_Pim_Pimname - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;507
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void Rte_IrvRead_RUNNABLE - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;560
error;trace;satisfy or design decision tag missing for symbol -> void Rte_IrvRead_RUNNABLE - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;560
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void Rte_IrvWrite_runnable - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;612
error;trace;satisfy or design decision tag missing for symbol -> void Rte_IrvWrite_runnable - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;612
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean Rte_IsUpdated_SWC_PORT_SIGNAL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;672
error;trace;satisfy or design decision tag missing for symbol -> boolean Rte_IsUpdated_SWC_PORT_SIGNAL - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;672
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Result_SWC_PORT_OPERATION - (IN/OUT Result) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;731
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType Rte_Result_SWC_PORT_OPERATION - (IN/OUT Result)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/RteLight/RteTool/c/inc/Rte_SWC.h;731
