level;type;description;file;line 
error;brief;brief description missing for symbol -> Std_ReturnType(* T_DL_AdaptAndCoding_b::f_b) (boolean *recVal_b) - )(boolean *recVal_b) variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1449
error;brief;brief description missing for symbol -> boolean* const T_DL_AdaptAndCoding_b::data_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1450
error;brief;brief description missing for symbol -> Std_ReturnType(* T_DL_AdaptAndCoding_u8::f_u8) (uint8 *recVal_u8) - )(uint8 *recVal_u8) variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1461
error;brief;brief description missing for symbol -> uint8* const T_DL_AdaptAndCoding_u8::data_u8 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1462
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_komfortoeffnen_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1392
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_komfortoeffnen_nur_fh_fahrertuer_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1393
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_sad_komfortoeffnen_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1394
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_Elektrische_Laderaumabdeckung_Aktiviert_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1395
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_entriegelungsmodus_hmi_einstellbar_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1396
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_IRUE_NGS_Deaktivierung_hmi_einstellbar_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1397
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_quittungston_hmi_einstellbar_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1398
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_quittierungston_bei_entriegeln_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1399
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_quittungston_bei_verriegeln_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1400
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_quittierton_global_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1401
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_autolock_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1402
error;brief;brief description missing for symbol -> boolean T_S_AdaptAndCod_Doorlocking::pa_virtuelles_pedal_HMI_einstellbar_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/BAP/BAPHandler_Doorlocking/Evo/inc/BAPHandler_Doorlocking_DataTypes.h;1403
