level;type;description;file;line 
error;brief;brief description missing for symbol -> uint8 fctDataBH_s::Id_u8 -  variable;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/inc/BAPHandler_UtilityLib.h;156
error;brief;brief description missing for symbol -> uint8* fctDataBH_s::oldData_pu8 -  variable;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/inc/BAPHandler_UtilityLib.h;157
error;brief;brief description missing for symbol -> uint8* fctDataBH_s::data_pu8 -  variable;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/inc/BAPHandler_UtilityLib.h;158
error;brief;brief description missing for symbol -> uint8 fctDataBH_s::dataLength_u8 -  variable;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/inc/BAPHandler_UtilityLib.h;159
error;brief;brief description missing for symbol -> Std_ReturnType(* T_S_BapI_BAPHandlerData_PSO_ImExport_Functions::Rte_Call_NvmPim_GetErrorStatus) (NvM_RequestResultType *pRequestResult) - )(NvM_RequestResultType *pRequestResult) variable;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/inc/BAPHandler_PSO_ImExport.h;563
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static uint8 T_S_BapI_BAPHandlerData_PSO_ImExport_SessionIdentifier_compare - (const T_S_BapI_BAPHandlerData_PSO_ImExport_SessionIdentifier *struct_1, const T_S_BapI_BAPHandlerData_PSO_ImExport_SessionIdentifier *struct_2) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;151
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static uint8 T_S_BapI_BAPHandlerData_PSO_ImExport_SessionIdentifier_compare - (const T_S_BapI_BAPHandlerData_PSO_ImExport_SessionIdentifier *struct_1, const T_S_BapI_BAPHandlerData_PSO_ImExport_SessionIdentifier *struct_2) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;151
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static uint8 T_S_NvM_BapHandler_PSO_Flags_compare - (const T_S_NvM_BapHandler_PSO_Flags *struct_1, const T_S_NvM_BapHandler_PSO_Flags *struct_2) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;194
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static uint8 T_S_NvM_BapHandler_PSO_Flags_compare - (const T_S_NvM_BapHandler_PSO_Flags *struct_1, const T_S_NvM_BapHandler_PSO_Flags *struct_2) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;194
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType bapi_PSO_ImExport_prepareMessageHeaders - (T_S_BapI_BAPHandlerData_PSO_ImExport_Buffers *buf_ps, T_S_BapI_PSO_ImExport_MsgData *msgData_ps, const T_S_BapI_PSO_ImExport_State *const state_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;229
