level;type;description;file;line 
error;brief;brief description missing for symbol -> Std_ReturnType(* T_S_BapI_BAPHandlerData_PSO_ImExport_Functions::Rte_Call_NvmPim_GetErrorStatus) (NvM_RequestResultType *pRequestResult) - )(NvM_RequestResultType *pRequestResult) variable;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/inc/BAPHandler_PSO_ImExport.h;565
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType bapi_Handle_PSO_ImExport_verifyDataPointers - (T_S_BapI_BAPHandlerData_PSO_ImExport_Data *pso_ps, T_S_BapI_BAPHandlerData_PSO_ImExport_PSOUser *PSOUserBH_ps, const T_S_BapI_BAPHandlerData_PSO_ImExport_ParameterMap *const psoParameterMap_pa, T_S_NvM_BapHandler_PSO_ImExport *NvM_PSO_properties_pa, const T_S_NvM_BapHandler_PSO_ImExport *NvM_PSO_properties_default_pa, T_S_BapI_PSO_ImExport_PSO_Data *psoData_pa, uint8 *data_pa, const T_S_BapI_BAPHandlerData_PSO_ImExport_Functions *f_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;104
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static Std_ReturnType bapi_Handle_PSO_ImExport_verifyDataPointers - (T_S_BapI_BAPHandlerData_PSO_ImExport_Data *pso_ps, T_S_BapI_BAPHandlerData_PSO_ImExport_PSOUser *PSOUserBH_ps, const T_S_BapI_BAPHandlerData_PSO_ImExport_ParameterMap *const psoParameterMap_pa, T_S_NvM_BapHandler_PSO_ImExport *NvM_PSO_properties_pa, const T_S_NvM_BapHandler_PSO_ImExport *NvM_PSO_properties_default_pa, T_S_BapI_PSO_ImExport_PSO_Data *psoData_pa, uint8 *data_pa, const T_S_BapI_BAPHandlerData_PSO_ImExport_Functions *f_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;104
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType bapi_Handle_PSO_ImExport_verifyFunctionPointers - (const T_S_BapI_BAPHandlerData_PSO_ImExport_Functions *const f_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;110
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static Std_ReturnType bapi_Handle_PSO_ImExport_verifyFunctionPointers - (const T_S_BapI_BAPHandlerData_PSO_ImExport_Functions *const f_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;110
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType bapi_PSO_ImExport_exportDirtyParameters - (T_S_BapI_PSO_ImExport_MsgData *msgData_ps, T_S_BapI_BAPHandlerData_PSO_ImExport_Data *BH_PSO_ImExport_Data_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;111
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType bapi_PSO_ImExport_exportAllParameters - (T_S_BapI_PSO_ImExport_MsgData *msgData_ps, T_S_BapI_BAPHandlerData_PSO_ImExport_Data *BH_PSO_ImExport_Data_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;112
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType bapi_PSO_ImExport_importParameters - (T_S_BapI_PSO_ImExport_MsgData *msgData_ps, const uint8 *psoData_pu8, uint16 psoDataLength_u16, T_S_BapI_BAPHandlerData_PSO_ImExport_Data *BH_PSO_ImExport_Data_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;113
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType bapi_BAPHandler_PSOUser_UpdateControlCommand - (T_S_BapI_BAPHandlerData_PSO_ImExport_Data *BH_PSO_ImExport_Data_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;115
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType bapi_BAPHandler_PSOUser_ResetAllAccounts - (T_S_BapI_BAPHandlerData_PSO_ImExport_Data *BH_PSO_ImExport_Data_ps) function;D:/ICAS1_Repo/sw.sys.chorus_main_build/mc_sw/appl/BAP/base/c/src/BAPHandler_PSO_ImExport.c;116
