level;type;description;file;line 
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_Disable_BDP_TV_01 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;299
error;trace;satisfy or design decision tag missing for symbol -> static void RemoteSignalRouter_Disable_BDP_TV_01 - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;299
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_Handle_BDP_TV_01 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;327
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_Disable_ELF_02 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;354
error;trace;satisfy or design decision tag missing for symbol -> static void RemoteSignalRouter_Disable_ELF_02 - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;354
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_Handle_ELF_02 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;382
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_Disable_FoD_01 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;409
error;trace;satisfy or design decision tag missing for symbol -> static void RemoteSignalRouter_Disable_FoD_01 - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;409
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_Handle_FoD_01 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;437
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_Disable_ORU_01 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;467
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_Handle_ORU_01 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;500
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RemoteSignalRouter_masked_memcpy - (volatile uint8 *dest, const uint8 *src, const uint8 *mask, uint16 length) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;540
error;trace;satisfy or design decision tag missing for symbol -> static void RemoteSignalRouter_masked_memcpy - (volatile uint8 *dest, const uint8 *src, const uint8 *mask, uint16 length)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;540
error;test;No test cases linked or code review tag missing for symbol -> static void RemoteSignalRouter_masked_memcpy - (volatile uint8 *dest, const uint8 *src, const uint8 *mask, uint16 length) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;540
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void RemoteSignalRouter_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;782
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void RemoteSignalRouter_CyclicFunction - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;790
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void RemoteSignalRouter_BDP_TV_01_Received - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;798
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void RemoteSignalRouter_ELF_02_Received - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ComServer/RemoteSignalRouter/Evo/src/RemoteSignalRouter_Routing.c;808
