level;type;description;file;line 
error;security;security rating missing for symbol -> Std_ReturnType NvmSingleDWA_SireneMasterCodeCbk - (NvM_ServiceIdType a_uServ, NvM_RequestResultType a_uRequest) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_NvRam.h;23
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType NvmSingleDWA_SireneMasterCodeCbk - (NvM_ServiceIdType a_uServ, NvM_RequestResultType a_uRequest) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_NvRam.h;23
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType NvmSingleDWA_SireneMasterCodeCbk - (NvM_ServiceIdType a_uServ, NvM_RequestResultType a_uRequest) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_NvRam.h;23
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType NvmSingleDWA_SireneMasterCodeCbk - (NvM_ServiceIdType a_uServ, NvM_RequestResultType a_uRequest) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/inc/DWAX_NvRam.h;23
error;security;security rating missing for symbol -> static void DWAX_MessageCounterProcedure - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;375
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWAX_MessageCounterProcedure - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;375
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void DWAX_MessageCounterProcedure - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;375
error;test;No test cases linked or code review tag missing for symbol -> static void DWAX_MessageCounterProcedure - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;375
error;security;security rating missing for symbol -> static void DWAX_MasterCodeGeneration - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;418
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWAX_MasterCodeGeneration - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;418
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void DWAX_MasterCodeGeneration - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;418
error;test;No test cases linked or code review tag missing for symbol -> static void DWAX_MasterCodeGeneration - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;418
error;security;security rating missing for symbol -> static void DWAX_SignalHandle__enStDWASensorKommErrSt - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;456
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWAX_SignalHandle__enStDWASensorKommErrSt - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;456
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void DWAX_SignalHandle__enStDWASensorKommErrSt - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;456
error;test;No test cases linked or code review tag missing for symbol -> static void DWAX_SignalHandle__enStDWASensorKommErrSt - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;456
error;security;security rating missing for symbol -> static void DWAX_SignalHandle__enStSNDKommErrSt - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;494
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWAX_SignalHandle__enStSNDKommErrSt - (void) function;D:/conti-git/ICASnewnew/sw.sys.chorus_main_build/mc_sw/appl/DWASensorSirene/DWAX/c/src/DWAX_Task.c;494
