level;type;description;file;line 
error;security;security rating missing for symbol -> Std_ReturnType ConfigLinDiagReadWrite - (const tLinDiagReq *LinDiagReq) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;397
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ConfigLinDiagReadWrite - (const tLinDiagReq *LinDiagReq) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;397
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType ConfigLinDiagReadWrite - (const tLinDiagReq *LinDiagReq)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;397
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType ConfigLinDiagReadWrite - (const tLinDiagReq *LinDiagReq) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;397
error;param;param <None> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;431
error;security;security rating missing for symbol -> uint16 ConfigLinLastRoutedDIDLength - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;431
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 ConfigLinLastRoutedDIDLength - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;431
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> uint16 ConfigLinLastRoutedDIDLength - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;431
error;test;No test cases linked or code review tag missing for symbol -> uint16 ConfigLinLastRoutedDIDLength - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;431
error;security;security rating missing for symbol -> Std_ReturnType ConfigLinDiagRead - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;483
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ConfigLinDiagRead - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;483
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType ConfigLinDiagRead - (Dcm_OpStatusType OpStatus, uint8 *Data)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;483
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType ConfigLinDiagRead - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;483
error;security;security rating missing for symbol -> boolean ConfigLinDiagFlashModeCheck - (l_ifc_handle linIfc) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;533
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean ConfigLinDiagFlashModeCheck - (l_ifc_handle linIfc) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;533
error;trace;satisfy or design decision tag missing for symbol -> boolean ConfigLinDiagFlashModeCheck - (l_ifc_handle linIfc)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;533
error;test;No test cases linked or code review tag missing for symbol -> boolean ConfigLinDiagFlashModeCheck - (l_ifc_handle linIfc) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;533
error;security;security rating missing for symbol -> Std_ReturnType ConfigLinDiagWriteGenericToSubSystem - (TELinSlave slaveID, uint16 diagIdent, const uint8 *Data, uint16 DataLength, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;587
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ConfigLinDiagWriteGenericToSubSystem - (TELinSlave slaveID, uint16 diagIdent, const uint8 *Data, uint16 DataLength, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/DiagMasterSlave/DK2_LinDiag/c/inc/ConfigLinDiag.h;587
