level;type;description;file;line 
error;brief;brief description missing for symbol -> void ORU_Data_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;188
error;security;security rating missing for symbol -> void ORU_Data_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;188
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ORU_Data_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;188
error;trace;satisfy or design decision tag missing for symbol -> void ORU_Data_Prepare_RteBuffer - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;188
error;test;No test cases linked or code review tag missing for symbol -> void ORU_Data_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;188
error;brief;brief description missing for symbol -> void ORU_Data_Prepare_RteBuffer_ASIL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;189
error;security;security rating missing for symbol -> void ORU_Data_Prepare_RteBuffer_ASIL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;189
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ORU_Data_Prepare_RteBuffer_ASIL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;189
error;trace;satisfy or design decision tag missing for symbol -> void ORU_Data_Prepare_RteBuffer_ASIL - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;189
error;test;No test cases linked or code review tag missing for symbol -> void ORU_Data_Prepare_RteBuffer_ASIL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;189
error;security;security rating missing for symbol -> static Std_ReturnType ORU_Data_SW_Version_GetValue - (TGW2020VWSoftwareVersionNumber_F189 *data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;227
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType ORU_Data_SW_Version_GetValue - (TGW2020VWSoftwareVersionNumber_F189 *data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;227
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static Std_ReturnType ORU_Data_SW_Version_GetValue - (TGW2020VWSoftwareVersionNumber_F189 *data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;227
error;security;security rating missing for symbol -> static Std_ReturnType ORU_Data_HW_Version_GetValue - (TVW_ECUHardwareVersionNumber_F1A3 *data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;265
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType ORU_Data_HW_Version_GetValue - (TVW_ECUHardwareVersionNumber_F1A3 *data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_Data/c/src/ORU_Data_Task.c;265
