level;type;description;file;line 
error;brief;brief description missing for symbol -> void ORUGUARD1_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;62
error;security;security rating missing for symbol -> void ORUGUARD1_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;62
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ORUGUARD1_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;62
error;trace;satisfy or design decision tag missing for symbol -> void ORUGUARD1_Prepare_RteBuffer - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;62
error;test;No test cases linked or code review tag missing for symbol -> void ORUGUARD1_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;62
error;brief;brief description missing for symbol -> void ORUGUARD1_Prepare_RteBuffer_ASIL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;63
error;security;security rating missing for symbol -> void ORUGUARD1_Prepare_RteBuffer_ASIL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;63
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ORUGUARD1_Prepare_RteBuffer_ASIL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;63
error;trace;satisfy or design decision tag missing for symbol -> void ORUGUARD1_Prepare_RteBuffer_ASIL - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;63
error;test;No test cases linked or code review tag missing for symbol -> void ORUGUARD1_Prepare_RteBuffer_ASIL - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;63
error;brief;brief description missing for symbol -> void ORUGUARD1_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;71
error;security;security rating missing for symbol -> void ORUGUARD1_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;71
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ORUGUARD1_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;71
error;trace;satisfy or design decision tag missing for symbol -> void ORUGUARD1_Init - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;71
error;test;No test cases linked or code review tag missing for symbol -> void ORUGUARD1_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;71
error;brief;brief description missing for symbol -> void ORUGUARD1_Task - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_ASIL/c/src/ORU_SafetyGuard_ASIL_Task.c;72
