level;type;description;file;line 
error;brief;brief description missing for symbol -> void ORUGUARD1_IF_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;63
error;security;security rating missing for symbol -> void ORUGUARD1_IF_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;63
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ORUGUARD1_IF_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;63
error;trace;satisfy or design decision tag missing for symbol -> void ORUGUARD1_IF_Prepare_RteBuffer - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;63
error;test;No test cases linked or code review tag missing for symbol -> void ORUGUARD1_IF_Prepare_RteBuffer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;63
error;brief;brief description missing for symbol -> void ORUGUARD1_IF_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;72
error;security;security rating missing for symbol -> void ORUGUARD1_IF_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;72
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ORUGUARD1_IF_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;72
error;trace;satisfy or design decision tag missing for symbol -> void ORUGUARD1_IF_Init - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;72
error;test;No test cases linked or code review tag missing for symbol -> void ORUGUARD1_IF_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;72
error;brief;brief description missing for symbol -> void ORUGUARD1_IF_Task - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;73
error;security;security rating missing for symbol -> void ORUGUARD1_IF_Task - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;73
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ORUGUARD1_IF_Task - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;73
error;trace;satisfy or design decision tag missing for symbol -> void ORUGUARD1_IF_Task - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;73
error;test;No test cases linked or code review tag missing for symbol -> void ORUGUARD1_IF_Task - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;73
error;brief;brief description missing for symbol -> Std_ReturnType ORUGUARD1_IF_CampaignResults_ConditionCheckRead - (Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ORU_SafetyGuard/ORU_SafetyGuard_QM/c/src/ORU_SafetyGuard_QM_Task.c;75
