level;type;description;file;line 
error;brief;brief description missing for symbol -> uint8 RWB_SwmVersData::SwcoNumber[8] - [8] variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_DataTypes.h;52
error;brief;brief description missing for symbol -> uint8 RWB_SwmVersData::SwcoSysName[11] - [11] variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_DataTypes.h;53
error;brief;brief description missing for symbol -> uint8 RWB_SwmVersData::VendorID[2] - [2] variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_DataTypes.h;54
error;brief;brief description missing for symbol -> uint8 RWB_SwmVersData::VwSparePartNumber[13] - [13] variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_DataTypes.h;55
error;brief;brief description missing for symbol -> uint8 RWB_SwmVersData::MajorVersion[4] - [4] variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_DataTypes.h;56
error;brief;brief description missing for symbol -> uint8 RWB_SwmVersData::MinorVersion[4] - [4] variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_DataTypes.h;57
error;brief;brief description missing for symbol -> uint8 RWB_SwmVersData::PatchVersion[4] - [4] variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_DataTypes.h;58
error;brief;brief description missing for symbol -> uint16 T_RWB_ANP::RWB_BMS_Consumption_Init -  variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_NvRam.h;223
error;brief;brief description missing for symbol -> uint16 T_RWB_ANP::RWB_E_Consumption_Init -  variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_NvRam.h;226
error;brief;brief description missing for symbol -> uint16 T_RWB_ANP::RWB_E_Average_Velocity_Init -  variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_NvRam.h;227
error;brief;brief description missing for symbol -> uint16 T_RWB_ANP::RWB_Power_Aircondition_Cabin_Average_Deviation -  variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_NvRam.h;230
error;brief;brief description missing for symbol -> uint16 T_RWB_ANP::RWB_Average_Power_Aircondition_element_Init -  variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_NvRam.h;231
error;brief;brief description missing for symbol -> uint16 T_RWB_ANP::RWB_Average_Power_DCDC_Init -  variable;D:/Git/__just_gen/sw.sys.chorus_main_build/mc_sw/appl/RWB/RWB/c/inc/RWB_NvRam.h;234
