level;type;description;file;line 
error;security;security rating missing for symbol -> void VLK_Automatic_Terminal_Deactivation_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_Automatic_Terminal_Deactivation.c;162
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void VLK_Automatic_Terminal_Deactivation_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_Automatic_Terminal_Deactivation.c;162
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void VLK_Automatic_Terminal_Deactivation_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_Automatic_Terminal_Deactivation.c;162
error;security;security rating missing for symbol -> void VLK_Automatic_Terminal_Deactivation_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_Automatic_Terminal_Deactivation.c;175
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void VLK_Automatic_Terminal_Deactivation_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_Automatic_Terminal_Deactivation.c;175
error;security;security rating missing for symbol -> void VLK_Automatic_Terminal_Deactivation_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/inc/VLK_Automatic_Terminal_Deactivation.h;88
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void VLK_Automatic_Terminal_Deactivation_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/inc/VLK_Automatic_Terminal_Deactivation.h;88
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void VLK_Automatic_Terminal_Deactivation_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/inc/VLK_Automatic_Terminal_Deactivation.h;88
error;security;security rating missing for symbol -> void VLK_Automatic_Terminal_Deactivation_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/inc/VLK_Automatic_Terminal_Deactivation.h;155
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void VLK_Automatic_Terminal_Deactivation_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/inc/VLK_Automatic_Terminal_Deactivation.h;155
error;security;security rating missing for symbol -> void VLK_BF_12 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_12.c;78
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void VLK_BF_12 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_12.c;78
error;security;security rating missing for symbol -> void VLK_BF_12 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/inc/VLK_BF_12.h;103
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void VLK_BF_12 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/inc/VLK_BF_12.h;103
error;security;security rating missing for symbol -> static void handleDriverWarningGeneral - (BF13_VariableBlock_t *bf13_vb, EPBStatusEnum s_EPB_status_e) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;551
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void handleDriverWarningGeneral - (BF13_VariableBlock_t *bf13_vb, EPBStatusEnum s_EPB_status_e) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;551
error;security;security rating missing for symbol -> static void handleSNBestaetigt - (BF13_VariableBlock_t *bf13_vb) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;608
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void handleSNBestaetigt - (BF13_VariableBlock_t *bf13_vb) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;608
error;security;security rating missing for symbol -> static void handleDriverWarningTimers - (boolean timer_condition_b, uint16 *timer) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;659
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void handleDriverWarningTimers - (boolean timer_condition_b, uint16 *timer) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;659
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void handleDriverWarningTimers - (boolean timer_condition_b, uint16 *timer) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;659
error;security;security rating missing for symbol -> static boolean getRollabilityCommonCondition - (boolean KL15_b, FahrstufeEnum fahrstufe_e, EPBStatusEnum s_EPB_status_e) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;709
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean getRollabilityCommonCondition - (boolean KL15_b, FahrstufeEnum fahrstufe_e, EPBStatusEnum s_EPB_status_e) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;709
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static boolean getRollabilityCommonCondition - (boolean KL15_b, FahrstufeEnum fahrstufe_e, EPBStatusEnum s_EPB_status_e) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;709
error;security;security rating missing for symbol -> static void readPopupDeactivated - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;767
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void readPopupDeactivated - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/VLK/VLK/c/src/VLK_BF_13.c;767
