level;type;description;file;line 
error;security;security rating missing for symbol -> Std_ReturnType Rte_Call_WFS_StFlashfreigabeResp_evCallback - (boolean bResult) function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;77
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Call_WFS_StFlashfreigabeResp_evCallback - (boolean bResult) function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;77
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType Rte_Call_WFS_StFlashfreigabeResp_evCallback - (boolean bResult)function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;77
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType Rte_Call_WFS_StFlashfreigabeResp_evCallback - (boolean bResult) function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;77
error;param;param <void> has no description;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;79
error;security;security rating missing for symbol -> uint8 Rte_Mode_WFS_WFS_EcuM_CurrentMode_currentMode - (void) function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;79
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint8 Rte_Mode_WFS_WFS_EcuM_CurrentMode_currentMode - (void) function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;79
error;trace;satisfy or design decision tag missing for symbol -> uint8 Rte_Mode_WFS_WFS_EcuM_CurrentMode_currentMode - (void)function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;79
error;test;No test cases linked or code review tag missing for symbol -> uint8 Rte_Mode_WFS_WFS_EcuM_CurrentMode_currentMode - (void) function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;79
error;security;security rating missing for symbol -> Std_ReturnType Rte_Call_WFS_CI_KsMaster_SetShowroomMode - (boolean ShowroomModeActive) function;D:/Workspace/Chorus/sw.sys.chorus_main_build/mc_sw/appl/WFS/WFS/Evof/inc/Rte_WFS_extended.h;81
