level;type;description;file;line 
error;brief;brief description missing for symbol -> unsigned int S_Payload_Comfort::ButtonCode -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;193
error;brief;brief description missing for symbol -> unsigned int S_Payload_Comfort::FrameCounter -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;194
error;brief;brief description missing for symbol -> unsigned int S_Payload_Comfort::LFPing -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;195
error;brief;brief description missing for symbol -> unsigned int S_Payload_Comfort::SlotNumber -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;197
error;brief;brief description missing for symbol -> unsigned int S_Payload_FZV::ButtonCode -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;176
error;brief;brief description missing for symbol -> unsigned int S_Payload_FZV::FrameCounter -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;177
error;brief;brief description missing for symbol -> uint8 S_Payload_FZV::RolingCodeCounter[4] - [4] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;179
error;brief;brief description missing for symbol -> uint8 S_Payload_FZV::Crypto[4] - [4] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;180
error;brief;brief description missing for symbol -> unsigned int S_Payload_FZV::SlotNumber -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;182
error;brief;brief description missing for symbol -> S_UHF_Payload S_UHF_Message::sPayload -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;241
error;brief;brief description missing for symbol -> S_FDH_Flags S_UHF_Message::sFlags -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;242
error;brief;brief description missing for symbol -> uint8 S_UHF_Message::u8KeyIndex -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;243
error;brief;brief description missing for symbol -> uint8 S_UHF_Message::u8RFTransponderID[4] - [4] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/FDH/c/inc/FDH_DataTypes.h;244
