level;type;description;file;line 
error;security;security rating missing for symbol -> static void updateBatteryCounter - (uint8_t u8SchluesselNrBattCounter) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;235
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void updateBatteryCounter - (uint8_t u8SchluesselNrBattCounter) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;235
error;security;security rating missing for symbol -> static void checkErrorFlags - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;295
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void checkErrorFlags - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;295
error;security;security rating missing for symbol -> static boolean isSystemTimeAvailable - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;350
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean isSystemTimeAvailable - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;350
error;security;security rating missing for symbol -> static boolean isLeapYear - (const uint16 year) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;403
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean isLeapYear - (const uint16 year) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;403
error;security;security rating missing for symbol -> static uint8 daysInMonth - (const uint16 year, const uint8 month) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;474
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static uint8 daysInMonth - (const uint16 year, const uint8 month) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;474
error;security;security rating missing for symbol -> static uint16 dayOfYear - (const uint16 year, const uint8 month, const uint8 day) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;529
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static uint16 dayOfYear - (const uint16 year, const uint8 month, const uint8 day) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;529
error;security;security rating missing for symbol -> static IDT_CRYPTO_uint8_DIM6 * getNvmKey - (const uint8 u8SchluesselNrBattVolInput) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;599
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static IDT_CRYPTO_uint8_DIM6 * getNvmKey - (const uint8 u8SchluesselNrBattVolInput) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;599
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static IDT_CRYPTO_uint8_DIM6 * getNvmKey - (const uint8 u8SchluesselNrBattVolInput) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;599
error;security;security rating missing for symbol -> static void ResetFlagsOnClampS - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;646
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ResetFlagsOnClampS - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;646
error;security;security rating missing for symbol -> static void PerformBatteryUpdateOnClamp15 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;696
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void PerformBatteryUpdateOnClamp15 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;696
error;security;security rating missing for symbol -> STATIC void updateBatteryVoltage - (uint8 batteryvoltage, uint8 u8SchluesselNrBattVol) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;785
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> STATIC void updateBatteryVoltage - (uint8 batteryvoltage, uint8 u8SchluesselNrBattVol) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;785
error;security;security rating missing for symbol -> void clear_KeyfobBatteryStatus - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;799
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void clear_KeyfobBatteryStatus - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;799
error;trace;satisfy or design decision tag missing for symbol -> void clear_KeyfobBatteryStatus - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;799
error;test;No test cases linked or code review tag missing for symbol -> void clear_KeyfobBatteryStatus - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;799
error;security;security rating missing for symbol -> void UHF_BatteryHandler_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;813
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void UHF_BatteryHandler_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;813
error;trace;satisfy or design decision tag missing for symbol -> void UHF_BatteryHandler_Init - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;813
error;test;No test cases linked or code review tag missing for symbol -> void UHF_BatteryHandler_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;813
error;security;security rating missing for symbol -> void UHF_BatteryHandler_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;835
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void UHF_BatteryHandler_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;835
error;trace;satisfy or design decision tag missing for symbol -> void UHF_BatteryHandler_Stop - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;835
error;test;No test cases linked or code review tag missing for symbol -> void UHF_BatteryHandler_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;835
error;security;security rating missing for symbol -> void UHF_BatteryHandler_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;849
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void UHF_BatteryHandler_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;849
error;trace;satisfy or design decision tag missing for symbol -> void UHF_BatteryHandler_Cyclic - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;849
error;test;No test cases linked or code review tag missing for symbol -> void UHF_BatteryHandler_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/src/UHF_BatteryHandler.c;849
error;param;param <N/A> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/inc/UHF_BatteryHandler.h;102
error;security;security rating missing for symbol -> void clear_KeyfobBatteryStatus - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/inc/UHF_BatteryHandler.h;102
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void clear_KeyfobBatteryStatus - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/inc/UHF_BatteryHandler.h;102
error;security;security rating missing for symbol -> void UHF_BatteryHandler_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Crypto/UHF/c/inc/UHF_BatteryHandler.h;154
