level;type;description;file;line 
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;83
error;security;security rating missing for symbol -> void CPD_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;83
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CPD_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;83
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void CPD_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;83
error;test;No test cases linked or code review tag missing for symbol -> void CPD_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;83
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;90
error;security;security rating missing for symbol -> void CPD_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;90
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CPD_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;90
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void CPD_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;90
error;test;No test cases linked or code review tag missing for symbol -> void CPD_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;90
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;97
error;security;security rating missing for symbol -> void CPD_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;97
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CPD_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;97
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void CPD_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;97
error;test;No test cases linked or code review tag missing for symbol -> void CPD_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;97
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;103
error;security;security rating missing for symbol -> void CPD_TaskCyclicEvent - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;103
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CPD_TaskCyclicEvent - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;103
error;test;No test cases linked or code review tag missing for symbol -> void CPD_TaskCyclicEvent - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/src/CPD_Task.c;103
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/inc/CPD_Task.h;69
error;security;security rating missing for symbol -> void CPD_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/inc/CPD_Task.h;69
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CPD_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/inc/CPD_Task.h;69
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void CPD_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/inc/CPD_Task.h;69
error;test;No test cases linked or code review tag missing for symbol -> void CPD_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/inc/CPD_Task.h;69
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/inc/CPD_Task.h;93
error;security;security rating missing for symbol -> void CPD_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/inc/CPD_Task.h;93
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CPD_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/CPD/Evo/inc/CPD_Task.h;93
