level;type;description;file;line 
error;brief;brief description missing for symbol -> DWA_Internal_t DWA_InternalStruct -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;145
error;security;security rating missing for symbol -> static void DWA_PreAllRunnablesHook_Stub - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;210
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWA_PreAllRunnablesHook_Stub - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;210
error;test;No test cases linked or code review tag missing for symbol -> static void DWA_PreAllRunnablesHook_Stub - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;210
error;security;security rating missing for symbol -> static void DWA_PostAllRunnablesHook_Stub - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;241
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWA_PostAllRunnablesHook_Stub - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;241
error;test;No test cases linked or code review tag missing for symbol -> static void DWA_PostAllRunnablesHook_Stub - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;241
error;security;security rating missing for symbol -> static void DWA_CheckEnableCondition - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;270
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWA_CheckEnableCondition - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;270
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void DWA_CheckEnableCondition - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;270
error;test;No test cases linked or code review tag missing for symbol -> static void DWA_CheckEnableCondition - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;270
error;security;security rating missing for symbol -> static void DWA_LinScheduler - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;299
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWA_LinScheduler - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;299
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void DWA_LinScheduler - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;299
error;test;No test cases linked or code review tag missing for symbol -> static void DWA_LinScheduler - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;299
error;security;security rating missing for symbol -> static void DWA_SensorAdapter__InternalFehler - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;334
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void DWA_SensorAdapter__InternalFehler - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;334
error;security;security rating missing for symbol -> static void DWA_SensorAdapter__UnplausiblesSignalNGS - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/DWA/Evo/src/DWA_Task.c;371
