level;type;description;file;line 
error;security;security rating missing for symbol -> static void KFT_SignalHandle - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;112
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void KFT_SignalHandle - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;112
error;security;security rating missing for symbol -> static void KFT_PreAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;141
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void KFT_PreAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;141
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void KFT_PreAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;141
error;test;No test cases linked or code review tag missing for symbol -> static void KFT_PreAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;141
error;security;security rating missing for symbol -> static void KFT_PostAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;170
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void KFT_PostAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;170
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void KFT_PostAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;170
error;test;No test cases linked or code review tag missing for symbol -> static void KFT_PostAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;170
error;security;security rating missing for symbol -> void KFT_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;226
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void KFT_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Task.c;226
