level;type;description;file;line 
error;brief;brief description missing for symbol -> KFTNvDataTypeHistorie Pim_KFT_PIM_KFTNvDataTypeHistorie -  variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/inc/KFT_NvRam.h;57
error;brief;brief description missing for symbol -> KFTNvDataTypeExtZustaende Pim_KFT_PIM_KFTNvDataTypeExtZustaende -  variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/inc/KFT_NvRam.h;58
error;brief;brief description missing for symbol -> volatile boolean KFT_EcuM_Run_requested -  variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;55
error;brief;brief description missing for symbol -> uint8 KFT_IdVersDataKFT_SwcoNumber[8] - [8] variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;78
error;brief;brief description missing for symbol -> uint8 KFT_IdVersDataKFT_SwcoSysName[13] - [13] variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;79
error;brief;brief description missing for symbol -> uint8 KFT_IdVersDataKFT_VendorID[2] - [2] variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;80
error;brief;brief description missing for symbol -> uint8 KFT_IdVersDataKFT_VwSparePartNumber[11] - [11] variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;81
error;brief;brief description missing for symbol -> uint8 KFT_IdVersDataKFT_MajorVersion[4] - [4] variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;82
error;brief;brief description missing for symbol -> uint8 KFT_IdVersDataKFT_MinorVersion[4] - [4] variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;83
error;brief;brief description missing for symbol -> uint8 KFT_IdVersDataKFT_PatchVersion[4] - [4] variable;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;84
error;brief;brief description missing for symbol -> uint8 Rte_IrvWrite_KFT_cyclic_kft_numKFTZielrelease - (void) function;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;58
error;return;return value not described for symbol -> uint8 Rte_IrvWrite_KFT_cyclic_kft_numKFTZielrelease - (void);C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;58
error;security;security rating missing for symbol -> uint8 Rte_IrvWrite_KFT_cyclic_kft_numKFTZielrelease - (void) function;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;58
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint8 Rte_IrvWrite_KFT_cyclic_kft_numKFTZielrelease - (void) function;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;58
error;trace;satisfy or design decision tag missing for symbol -> uint8 Rte_IrvWrite_KFT_cyclic_kft_numKFTZielrelease - (void)function;C:/Users/uic55300/Perforce/gitChorus/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFT/Evo/src/KFT_Stubs.c;58
