level;type;description;file;line 
error;brief;brief description missing for symbol -> uint16 tconstKFTX_Msg::rearmTmr -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;92
error;brief;brief description missing for symbol -> CAN_State tconstKFTX_Msg::comChn -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;93
error;brief;brief description missing for symbol -> uint8* tconstKFTX_Msg::iPduStatusRef -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;94
error;enum;enum variable<KFTX_CAN_COUNTER> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;60
error;enum;enum variable<KFTX_TSG_FT_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;74
error;enum;enum variable<KFTX_TSG_BT_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;74
error;enum;enum variable<KFTX_TSG_HFS_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;74
error;enum;enum variable<KFTX_TSG_HBFS_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;74
error;enum;enum variable<KFTX_SAD_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;74
error;enum;enum variable<KFTX_PDU_NUM> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/inc/KFTX_DataTypes.h;74
error;security;security rating missing for symbol -> static void KFTX_SignalHandle__Komfortschliessen_Brasilien - (boolean bapAktiv_bo) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/src/KFTX_Task.c;254
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void KFTX_SignalHandle__Komfortschliessen_Brasilien - (boolean bapAktiv_bo) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/src/KFTX_Task.c;254
error;test;No test cases linked or code review tag missing for symbol -> static void KFTX_SignalHandle__Komfortschliessen_Brasilien - (boolean bapAktiv_bo) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/src/KFTX_Task.c;254
error;security;security rating missing for symbol -> static void KFTX_SignalHandle__SAD_KFT_Oeffnen - (boolean bapAktiv_bo, uint8 komfortFensterheber_u8) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/src/KFTX_Task.c;293
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void KFTX_SignalHandle__SAD_KFT_Oeffnen - (boolean bapAktiv_bo, uint8 komfortFensterheber_u8) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/KFTX/Evo/src/KFTX_Task.c;293
