level;type;description;file;line 
error;security;security rating missing for symbol -> static void QTG_PreAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;107
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void QTG_PreAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;107
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void QTG_PreAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;107
error;test;No test cases linked or code review tag missing for symbol -> static void QTG_PreAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;107
error;security;security rating missing for symbol -> static void QTG_PostAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;136
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void QTG_PostAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;136
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void QTG_PostAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;136
error;test;No test cases linked or code review tag missing for symbol -> static void QTG_PostAllRunnablesHook - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;136
error;security;security rating missing for symbol -> void QTG_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;160
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void QTG_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;160
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void QTG_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;160
error;test;No test cases linked or code review tag missing for symbol -> void QTG_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;160
error;security;security rating missing for symbol -> void QTG_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;166
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void QTG_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;166
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void QTG_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;166
error;test;No test cases linked or code review tag missing for symbol -> void QTG_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;166
error;security;security rating missing for symbol -> void QTG_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;172
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void QTG_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;172
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void QTG_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;172
error;test;No test cases linked or code review tag missing for symbol -> void QTG_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;172
error;security;security rating missing for symbol -> void QTG_TaskCyclicEvent - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;178
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void QTG_TaskCyclicEvent - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/QTG/Evo/src/QTG_Task.c;178
