level;type;description;file;line 
error;security;security rating missing for symbol -> void ZKMEBINT_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;86
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ZKMEBINT_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;86
error;test;No test cases linked or code review tag missing for symbol -> void ZKMEBINT_InitVarFunc - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;86
error;security;security rating missing for symbol -> void ZKMEBINT_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;92
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ZKMEBINT_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;92
error;test;No test cases linked or code review tag missing for symbol -> void ZKMEBINT_Start - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;92
error;security;security rating missing for symbol -> void ZKMEBINT_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;98
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ZKMEBINT_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;98
error;test;No test cases linked or code review tag missing for symbol -> void ZKMEBINT_Stop - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;98
error;security;security rating missing for symbol -> void ZKMEBINT_TaskCyclicEvent - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;104
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ZKMEBINT_TaskCyclicEvent - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;104
error;test;No test cases linked or code review tag missing for symbol -> void ZKMEBINT_TaskCyclicEvent - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZKMEBINT/Evo/src/ZKMEBINT_Task.c;104
