level;type;description;file;line 
error;param;param <void> has no description;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;165
error;security;security rating missing for symbol -> Std_ReturnType Rte_Call_ZV_ECU_StateRequest_RequestRUN - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;165
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Call_ZV_ECU_StateRequest_RequestRUN - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;165
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType Rte_Call_ZV_ECU_StateRequest_RequestRUN - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;165
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType Rte_Call_ZV_ECU_StateRequest_RequestRUN - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;165
error;param;param <void> has no description;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;197
error;security;security rating missing for symbol -> Std_ReturnType Rte_Call_ZV_ECU_StateRequest_ReleaseRUN - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;197
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Call_ZV_ECU_StateRequest_ReleaseRUN - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;197
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType Rte_Call_ZV_ECU_StateRequest_ReleaseRUN - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;197
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType Rte_Call_ZV_ECU_StateRequest_ReleaseRUN - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;197
error;security;security rating missing for symbol -> void ZV_preMwZvSpielschutzE3_ReadDataHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;209
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ZV_preMwZvSpielschutzE3_ReadDataHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;209
error;trace;satisfy or design decision tag missing for symbol -> void ZV_preMwZvSpielschutzE3_ReadDataHook - (void)function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;209
error;test;No test cases linked or code review tag missing for symbol -> void ZV_preMwZvSpielschutzE3_ReadDataHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;209
error;security;security rating missing for symbol -> void ZV_precyclic_zvHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;212
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ZV_precyclic_zvHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;212
error;trace;satisfy or design decision tag missing for symbol -> void ZV_precyclic_zvHook - (void)function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;212
error;test;No test cases linked or code review tag missing for symbol -> void ZV_precyclic_zvHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;212
error;security;security rating missing for symbol -> void ZV_postcyclic_zvHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;215
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ZV_postcyclic_zvHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;215
error;trace;satisfy or design decision tag missing for symbol -> void ZV_postcyclic_zvHook - (void)function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;215
error;test;No test cases linked or code review tag missing for symbol -> void ZV_postcyclic_zvHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;215
error;security;security rating missing for symbol -> void ZV_postMwZvSpielschutzE3_ReadDataHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;218
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ZV_postMwZvSpielschutzE3_ReadDataHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;218
error;trace;satisfy or design decision tag missing for symbol -> void ZV_postMwZvSpielschutzE3_ReadDataHook - (void)function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;218
error;test;No test cases linked or code review tag missing for symbol -> void ZV_postMwZvSpielschutzE3_ReadDataHook - (void) function;D:/icas/chorus_TOO_MANY_CLONES/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV/Evo/src/ZV_Stubs.c;218
