level;type;description;file;line 
error;brief;brief description missing for symbol -> uint16 tconstZVAD_Msg::rearmTmr -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;677
error;brief;brief description missing for symbol -> CAN_StateZv tconstZVAD_Msg::comChn -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;678
error;brief;brief description missing for symbol -> uint8* tconstZVAD_Msg::iPduStatusRef -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;679
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType NvmSingleZVAD_FahrstufeCbk - (NvM_ServiceIdType a_uServ, NvM_RequestResultType a_uRequest) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_lib/ZVAD/Evo/inc/ZVAD_NvRam.h;139
error;enum;enum variable<ZVAD_CAN_COUNTER> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;637
error;enum;enum variable<ZVAD_TSG_FT_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_TSG_BT_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_TSG_HFS_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_TSG_HBFS_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_SAM_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_ESP_21> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_STSG_HFS_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_STSG_HBFS_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_HDSG_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_Airbag_01> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
error;enum;enum variable<ZVAD_PDU_NUM> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZVAD/Evo/src/ZVAD_Task.c;654
