level;type;description;file;line 
error;security;security rating missing for symbol -> Std_ReturnType CPD_Read_Adaption_0x13C7 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/src/CPD_ADAPTATION.c;83
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType CPD_Read_Adaption_0x13C7 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/src/CPD_ADAPTATION.c;83
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType CPD_Read_Adaption_0x13C7 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/src/CPD_ADAPTATION.c;83
error;security;security rating missing for symbol -> Std_ReturnType CPD_Write_Adaption_0x13C7 - (const uint8 *Data, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/src/CPD_ADAPTATION.c;125
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType CPD_Write_Adaption_0x13C7 - (const uint8 *Data, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/src/CPD_ADAPTATION.c;125
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType CPD_Write_Adaption_0x13C7 - (const uint8 *Data, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/src/CPD_ADAPTATION.c;125
error;security;security rating missing for symbol -> Std_ReturnType CPD_Read_Adaption_0x13C7 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/inc/CPD_ADAPTATION.h;122
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType CPD_Read_Adaption_0x13C7 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/inc/CPD_ADAPTATION.h;122
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType CPD_Read_Adaption_0x13C7 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/inc/CPD_ADAPTATION.h;122
error;security;security rating missing for symbol -> Std_ReturnType CPD_Write_Adaption_0x13C7 - (const uint8 *Data, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/MasterICAS1EVO/sw.sys.chorus_main_build/mc_sw/appl/ZV_Lib/ZV_Lib_Diagnosis/Adaptation/Evo/inc/CPD_ADAPTATION.h;189
