level;type;description;file;line 
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Rte_Call_ZVLight_val0x1AF_GetVersion - (T_0x1AF_SwCoIdentification *const pptIdentificationData) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_SCID.c;211
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType ZVLight_CalculateSignature - (const uint8 Data[16], uint16 *Signature) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;433
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ZVLight_WriteSignatureToNVM - (volatile uint8 *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;486
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;534
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ZVLight_ReadSignatureFromNVM - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;534
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ZVLight_WriteZeroToNVM - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;580
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;624
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ZVLight_VerifyNVM - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;624
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;662
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ZVLight_SetDtcStatusPrepassed - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;662
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void ZVLight_SetDtcStatusPrepassed - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;662
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;700
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ZVLight_SetDtcStatusPrefailed - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;700
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void ZVLight_SetDtcStatusPrefailed - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;700
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;738
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ZVLight_SetDtcNvmDefectStatusPrefailed - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;738
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void ZVLight_SetDtcNvmDefectStatusPrefailed - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;738
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType ZVLight_CheckDtcStatus - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;775
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static Std_ReturnType ZVLight_CheckDtcStatus - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;775
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType ZVLight_CheckDtcStatusFromKS - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;812
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static Std_ReturnType ZVLight_CheckDtcStatusFromKS - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;812
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ZVLight_SetDtcIfNotActiveAndSignatureNotSet - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight/c/src/ZVLight_Task.c;852
