level;type;description;file;line 
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean ZVLight_areRoutine0x0530OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/src/ZVLightRoutines.c;179
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static boolean ZVLight_areRoutine0x0530OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/src/ZVLightRoutines.c;179
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType ZVLight_CheckError - (uint8 *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/src/ZVLightRoutines.c;224
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static Std_ReturnType ZVLight_CheckError - (uint8 *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/src/ZVLightRoutines.c;224
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Start - (uint32 inParam0, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/src/ZVLightRoutines.c;291
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Stop - (Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/src/ZVLightRoutines.c;386
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_RequestResults - (Dcm_OpStatusType OpStatus, uint8 *outParam0, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/src/ZVLightRoutines.c;421
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Abort - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/src/ZVLightRoutines.c;435
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Start - (uint32 inParam0, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/inc/ZVLightRoutines.h;116
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Stop - (Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/inc/ZVLightRoutines.h;171
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_RequestResults - (Dcm_OpStatusType OpStatus, uint8 *outParam0, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/inc/ZVLightRoutines.h;227
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Abort - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/inc/ZVLightRoutines.h;271
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Start - (uint32 inParam0, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/inc/ZVLightRoutines.h;116
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Stop - (Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/inc/ZVLightRoutines.h;171
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_RequestResults - (Dcm_OpStatusType OpStatus, uint8 *outParam0, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/inc/ZVLightRoutines.h;227
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType ZVLight_Routine_0x0530_Abort - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/appl/ZV_Light/ZVLight_Diagnosis/c/inc/ZVLightRoutines.h;271
