level;type;description;file;line 
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m1[16] - [16] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;208
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m2[32] - [32] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;209
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m3[16] - [16] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;210
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m4[32] - [32] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;211
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m5[16] - [16] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;212
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m4hsm[32] - [32] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;213
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m5hsm[16] - [16] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;214
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m4m5available -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;215
error;brief;brief description missing for symbol -> shewriteState_T shewrite_varT::state -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;223
error;brief;brief description missing for symbol -> uint8 shewrite_varT::nrc -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;224
error;brief;brief description missing for symbol -> uint8 shewrite_varT::fail -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;225
error;brief;brief description missing for symbol -> uint8 shewrite_varT::ChannelId -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;226
error;brief;brief description missing for symbol -> shewrite_msgT shewrite_varT::msg -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;227
error;enum;enum variable<SHEWRITE_IDLE> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;193
error;enum;enum variable<SHEWRITE_OPEN> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;193
error;enum;enum variable<SHEWRITE_LOAD> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;193
error;enum;enum variable<SHEWRITE_POLL> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;193
error;enum;enum variable<SHEWRITE_CHCK> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;193
error;enum;enum variable<SHEWRITE_DONE> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;193
error;enum;enum variable<SHEWRITE_FAIL> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;193
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;340
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void shewrite_writenewkey - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;340
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey_open - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;382
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void shewrite_writenewkey_open - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;382
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey_load - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;425
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void shewrite_writenewkey_load - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;425
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey_poll - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;468
