level;type;description;file;line 
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m1[16] - [16] variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;241
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m2[32] - [32] variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;242
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m3[16] - [16] variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;243
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m4[32] - [32] variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;244
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m5[16] - [16] variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;245
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m4hsm[32] - [32] variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;246
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m5hsm[16] - [16] variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;247
error;brief;brief description missing for symbol -> uint8 shewrite_msgT::m4m5available -  variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;248
error;brief;brief description missing for symbol -> shewriteState_T shewrite_varT::state -  variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;258
error;brief;brief description missing for symbol -> uint8 shewrite_varT::nrc -  variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;259
error;brief;brief description missing for symbol -> uint8 shewrite_varT::fail -  variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;260
error;brief;brief description missing for symbol -> uint8 shewrite_varT::ChannelId -  variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;261
error;brief;brief description missing for symbol -> shewrite_msgT shewrite_varT::msg -  variable;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;262
error;enum;enum variable<SHEWRITE_IDLE> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;224
error;enum;enum variable<SHEWRITE_OPEN> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;224
error;enum;enum variable<SHEWRITE_LOAD> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;224
error;enum;enum variable<SHEWRITE_POLL> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;224
error;enum;enum variable<SHEWRITE_CHCK> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;224
error;enum;enum variable<SHEWRITE_DONE> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;224
error;enum;enum variable<SHEWRITE_FAIL> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;224
error;param;param <void> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;371
error;security;security rating missing for symbol -> static void shewrite_writenewkey - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;371
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;371
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void shewrite_writenewkey - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;371
error;test;No test cases linked or code review tag missing for symbol -> static void shewrite_writenewkey - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;371
error;param;param <void> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;418
error;security;security rating missing for symbol -> static void shewrite_writenewkey_open - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;418
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey_open - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;418
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void shewrite_writenewkey_open - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;418
error;test;No test cases linked or code review tag missing for symbol -> static void shewrite_writenewkey_open - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;418
error;param;param <void> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;466
error;security;security rating missing for symbol -> static void shewrite_writenewkey_load - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;466
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey_load - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;466
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void shewrite_writenewkey_load - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;466
error;test;No test cases linked or code review tag missing for symbol -> static void shewrite_writenewkey_load - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;466
error;param;param <void> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;513
error;security;security rating missing for symbol -> static void shewrite_writenewkey_poll - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;513
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey_poll - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;513
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void shewrite_writenewkey_poll - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;513
error;test;No test cases linked or code review tag missing for symbol -> static void shewrite_writenewkey_poll - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;513
error;param;param <void> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;561
error;security;security rating missing for symbol -> static void shewrite_writenewkey_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;561
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void shewrite_writenewkey_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;561
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void shewrite_writenewkey_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;561
error;test;No test cases linked or code review tag missing for symbol -> static void shewrite_writenewkey_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;561
error;param;param <void> has no description;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;610
error;security;security rating missing for symbol -> static comm_rc_t shewrite_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;610
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static comm_rc_t shewrite_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;610
error;test;No test cases linked or code review tag missing for symbol -> static comm_rc_t shewrite_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;610
error;security;security rating missing for symbol -> static comm_rc_t Vkms_shewrite_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;659
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static comm_rc_t Vkms_shewrite_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;659
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static comm_rc_t Vkms_shewrite_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;659
error;test;No test cases linked or code review tag missing for symbol -> static comm_rc_t Vkms_shewrite_checkm4m5 - (void) function;D:/sandbox/chorus1/sw.sys.chorus_main_build/mc_sw/b_ar_asw/ZenturHSM/Evo/src/ZenturHSM.c;659
