level;type;description;file;line 
error;brief;brief description missing for symbol -> importLsgList.tree -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/importLsgList.py;21
error;brief;brief description missing for symbol -> importLsgList.root -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/importLsgList.py;22
error;brief;brief description missing for symbol -> importLsgList.f -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/importLsgList.py;25
error;brief;brief description missing for symbol -> ExteriorLight -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;1
error;brief;brief description missing for symbol -> Doorlocking -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;2
error;brief;brief description missing for symbol -> Mirror -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;3
error;brief;brief description missing for symbol -> Charisma -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;4
error;brief;brief description missing for symbol -> FAS_Profiles -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;5
error;brief;brief description missing for symbol -> PaCo -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;6
error;brief;brief description missing for symbol -> InteriorLight2 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;7
error;brief;brief description missing for symbol -> MKE -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;8
error;brief;brief description missing for symbol -> MobDevKey -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_doc/mc_sw/cdd/BAP_Stack/BAP_Stack/c/tools/BapIntGen/runnable/lsgList.txt;9
