level;type;description;file;line 
error;brief;brief description missing for symbol -> uint16 EthSwt_88Q5050_FlashContentHash_Type::BlockID -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/inc/EthSwt_88Q5050_Callback.h;98
error;brief;brief description missing for symbol -> uint8 EthSwt_88Q5050_FlashContentHash_Type::HashValue[32] - [32] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/inc/EthSwt_88Q5050_Callback.h;99
error;brief;brief description missing for symbol -> boolean EthSwt_88Q5050_FlashContentHash_Type::isRequested -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/inc/EthSwt_88Q5050_Callback.h;100
error;brief;brief description missing for symbol -> EthSwt_HashRespStatus EthSwt_88Q5050_FlashContentHash_Type::State -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/inc/EthSwt_88Q5050_Callback.h;101
error;brief;brief description missing for symbol -> uint16 EthSwt_88Q5050_FlashContentHash_Type::TimeoutCount -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/inc/EthSwt_88Q5050_Callback.h;102
error;brief;brief description missing for symbol -> T_CrcEth_Status T_CrcEth_Context_s::CrcEth_Status -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;84
error;brief;brief description missing for symbol -> T_CrcEth_Context_s CrcEth_Context[2u] - [2u] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;91
error;brief;brief description missing for symbol -> EthSwt_88Q5050_LogicalBlockInfoType EthSwt_88Q5050_LogicalBlock_Map[12u] - [12u] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;101
error;brief;brief description missing for symbol -> EthSwt_88Q5050_FlashContentHash_Type EthSwt_FlashContentHash[ETHSWT_88Q5050_SWITCH_COUNT] - [ETHSWT_88Q5050_SWITCH_COUNT] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;118
error;security;security rating missing for symbol -> static void CRC32_Mng_CrcEth_HashGetResp - (const uint8 EthSwitch_Id, const uint16 EthSwitch_BlockId, uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;122
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void CRC32_Mng_CrcEth_HashGetResp - (const uint8 EthSwitch_Id, const uint16 EthSwitch_BlockId, uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;122
error;test;No test cases linked or code review tag missing for symbol -> static void CRC32_Mng_CrcEth_HashGetResp - (const uint8 EthSwitch_Id, const uint16 EthSwitch_BlockId, uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;122
error;security;security rating missing for symbol -> void CRC32_Mng_CrcEth_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;203
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CRC32_Mng_CrcEth_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;203
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void CRC32_Mng_CrcEth_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;203
error;test;No test cases linked or code review tag missing for symbol -> void CRC32_Mng_CrcEth_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;203
error;security;security rating missing for symbol -> T_CrcEth_Status CRC32_Mng_CrcEth_CrcReq - (T_CrcEth_ReqType reqType, const T_CrcEth_EthSwitchId EthSwitch_Id, const uint16 EthSwitch_BlockId, uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;211
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> T_CrcEth_Status CRC32_Mng_CrcEth_CrcReq - (T_CrcEth_ReqType reqType, const T_CrcEth_EthSwitchId EthSwitch_Id, const uint16 EthSwitch_BlockId, uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/CRC_Manager_Marvell/CRC32_Mng_CrcEth/c/src/CRC32_Mng_CrcEth.c;211
