level;type;description;file;line 
error;brief;brief description missing for symbol -> HAL_DigitalPort_Type HAL_ConfigSet_Type::standby_CAN_LIN - [HAL_DEFINED_CAN_LIN_BUSES_COUNT] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/c/inc/hal_base.h;141
error;brief;brief description missing for symbol -> uint32 HAL_WakeupSrc_Type::wkp_bits_unit[2] - [2] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/hal_variant.c;113
error;brief;brief description missing for symbol -> HAL_WakeupSrc_Unit0_Type HAL_WakeupSrc_Type::wkp_unit0 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/hal_variant.c;116
error;brief;brief description missing for symbol -> HAL_WakeupSrc_Unit1_Type HAL_WakeupSrc_Type::wkp_unit1 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/hal_variant.c;117
error;brief;brief description missing for symbol -> union HAL_WakeupSrc_Type::@181 HAL_WakeupSrc_Type::@182 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/hal_variant.c;119
error;brief;brief description missing for symbol -> void print_build_info_CAN - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;71
error;security;security rating missing for symbol -> void print_build_info_CAN - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;71
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void print_build_info_CAN - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;71
error;trace;satisfy or design decision tag missing for symbol -> void print_build_info_CAN - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;71
error;test;No test cases linked or code review tag missing for symbol -> void print_build_info_CAN - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;71
error;security;security rating missing for symbol -> HAL_LOCAL void GW_DevMsg_Fill_2x12bit - (uint16 val1_12bit, uint16 val2_12bit) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;153
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> HAL_LOCAL void GW_DevMsg_Fill_2x12bit - (uint16 val1_12bit, uint16 val2_12bit) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;153
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> HAL_LOCAL void GW_DevMsg_Fill_2x12bit - (uint16 val1_12bit, uint16 val2_12bit) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;153
error;security;security rating missing for symbol -> HAL_LOCAL_INLINE uint16 adc_correction - (uint16 raw) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;200
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> HAL_LOCAL_INLINE uint16 adc_correction - (uint16 raw) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;200
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> HAL_LOCAL_INLINE uint16 adc_correction - (uint16 raw) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;200
error;security;security rating missing for symbol -> HAL_LOCAL void GW_DevMsg_Fill_AI_CAN - (TComChannel channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;238
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> HAL_LOCAL void GW_DevMsg_Fill_AI_CAN - (TComChannel channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;238
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> HAL_LOCAL void GW_DevMsg_Fill_AI_CAN - (TComChannel channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;238
error;security;security rating missing for symbol -> void OutputGW_DevMessages - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;253
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void OutputGW_DevMessages - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;253
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void OutputGW_DevMessages - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/src/gw_dev_msg.c;253
error;security;security rating missing for symbol -> void OutputGW_DevMessages - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/gw_dev_msg.h;171
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void OutputGW_DevMessages - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/gw_dev_msg.h;171
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void OutputGW_DevMessages - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/gw_dev_msg.h;171
error;security;security rating missing for symbol -> static void HalSetNormal - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;100
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void HalSetNormal - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;100
error;test;No test cases linked or code review tag missing for symbol -> static void HalSetNormal - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;100
error;security;security rating missing for symbol -> static void HalSetSleep - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;136
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void HalSetSleep - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;136
error;test;No test cases linked or code review tag missing for symbol -> static void HalSetSleep - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;136
error;security;security rating missing for symbol -> static void HalClearWakeUp - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;172
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void HalClearWakeUp - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;172
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void HalClearWakeUp - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;172
error;test;No test cases linked or code review tag missing for symbol -> static void HalClearWakeUp - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;172
error;security;security rating missing for symbol -> static boolean HalWakeupIs - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;210
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean HalWakeupIs - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;210
error;test;No test cases linked or code review tag missing for symbol -> static boolean HalWakeupIs - (TComChannel Channel) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;210
error;security;security rating missing for symbol -> static void HalusTimedelay - (uint32 delay_us) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;249
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void HalusTimedelay - (uint32 delay_us) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;249
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void HalusTimedelay - (uint32 delay_us) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;249
error;test;No test cases linked or code review tag missing for symbol -> static void HalusTimedelay - (uint32 delay_us) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/Evo/inc/hal.h;249
error;security;security rating missing for symbol -> HAL_LOCAL_INLINE volatile struct SARADC_tag * Board_Peripheral_SAR_ADC_12BIT_B0 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/c/src/hal_base.c;119
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> HAL_LOCAL_INLINE volatile struct SARADC_tag * Board_Peripheral_SAR_ADC_12BIT_B0 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/c/src/hal_base.c;119
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> HAL_LOCAL_INLINE volatile struct SARADC_tag * Board_Peripheral_SAR_ADC_12BIT_B0 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HAL/c/src/hal_base.c;119
