level;type;description;file;line 
error;brief;brief description missing for symbol -> THardwareVersionStruct HardwareVersionCopy -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;104
error;security;security rating missing for symbol -> void HardwareVersion_ReadOtp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;122
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_ReadOtp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;122
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void HardwareVersion_ReadOtp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;122
error;security;security rating missing for symbol -> void HardwareVersion_GetHardwareVersion - (HardwareVersionType *hwVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;139
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetHardwareVersion - (HardwareVersionType *hwVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;139
error;security;security rating missing for symbol -> void HardwareVersion_GetBaseVariant - (BaseVariantType *baseVariant) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;213
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetBaseVariant - (BaseVariantType *baseVariant) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;213
error;security;security rating missing for symbol -> void HardwareVersion_GetHardwareVersionNumber - (HardwareVersionNumber *hwVersionNumber) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;224
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetHardwareVersionNumber - (HardwareVersionNumber *hwVersionNumber) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;224
error;security;security rating missing for symbol -> void HardwareVersion_ReadOtp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;170
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_ReadOtp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;170
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void HardwareVersion_ReadOtp - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;170
error;security;security rating missing for symbol -> void HardwareVersion_GetHardwareVersion - (HardwareVersionType *hwVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;221
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetHardwareVersion - (HardwareVersionType *hwVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;221
error;security;security rating missing for symbol -> void HardwareVersion_GetBaseVariant - (BaseVariantType *baseVariant) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;256
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetBaseVariant - (BaseVariantType *baseVariant) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;256
error;security;security rating missing for symbol -> void HardwareVersion_GetHardwareVersionNumber - (HardwareVersionNumber *hwVersionNumber) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;291
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetHardwareVersionNumber - (HardwareVersionNumber *hwVersionNumber) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/HardwareVersion.h;291
error;security;security rating missing for symbol -> void PostBuildHandler_McalInit_LIN4_DWA_mode - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/PostBuildHandler.c;79
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void PostBuildHandler_McalInit_LIN4_DWA_mode - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/PostBuildHandler.c;79
error;security;security rating missing for symbol -> void PostBuildHandler_McalInit - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/PostBuildHandler.c;106
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void PostBuildHandler_McalInit - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/PostBuildHandler.c;106
error;security;security rating missing for symbol -> void PostBuildHandler_McalInit_LIN4_DWA_mode - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/PostBuildHandler.h;111
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void PostBuildHandler_McalInit_LIN4_DWA_mode - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/PostBuildHandler.h;111
error;security;security rating missing for symbol -> void PostBuildHandler_McalInit - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/PostBuildHandler.h;161
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void PostBuildHandler_McalInit - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/inc/PostBuildHandler.h;161
