level;type;description;file;line 
error;security;security rating missing for symbol -> void HardwareVersion_GetHardwareVersion - (HardwareVersionType *hwVersion) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;162
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetHardwareVersion - (HardwareVersionType *hwVersion) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;162
error;test;No test cases linked or code review tag missing for symbol -> void HardwareVersion_GetHardwareVersion - (HardwareVersionType *hwVersion) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;162
error;security;security rating missing for symbol -> void HardwareVersion_GetBaseVariant - (BaseVariantType *baseVariant) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;197
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetBaseVariant - (BaseVariantType *baseVariant) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;197
error;test;No test cases linked or code review tag missing for symbol -> void HardwareVersion_GetBaseVariant - (BaseVariantType *baseVariant) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;197
error;security;security rating missing for symbol -> void HardwareVersion_GetHardwareVersionNumber - (HardwareVersionNumber *hwVersionNumber) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;232
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void HardwareVersion_GetHardwareVersionNumber - (HardwareVersionNumber *hwVersionNumber) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;232
error;test;No test cases linked or code review tag missing for symbol -> void HardwareVersion_GetHardwareVersionNumber - (HardwareVersionNumber *hwVersionNumber) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;232
error;security;security rating missing for symbol -> void HardwareVersion_ReadOtp - (void) function;D:/ICASNEW/sw.sys.chorus_main_build/mc_sw/cdd/Chorus_HSI/HardwareVersion/Evo/src/HardwareVersion.c;235
