level;type;description;file;line 
error;security;security rating missing for symbol -> static Std_ReturnType SysWDDiag_setDTCEventStatus - (uint32 eventDtcId, uint8 DtcStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;887
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType SysWDDiag_setDTCEventStatus - (uint32 eventDtcId, uint8 DtcStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;887
error;test;No test cases linked or code review tag missing for symbol -> static Std_ReturnType SysWDDiag_setDTCEventStatus - (uint32 eventDtcId, uint8 DtcStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;887
error;security;security rating missing for symbol -> static void SysWDDiag_ExtractDTCs - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1027
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void SysWDDiag_ExtractDTCs - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1027
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void SysWDDiag_ExtractDTCs - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1027
error;test;No test cases linked or code review tag missing for symbol -> static void SysWDDiag_ExtractDTCs - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1027
error;security;security rating missing for symbol -> static void SysWDDiag_ExtractRL78SWVersion - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1102
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void SysWDDiag_ExtractRL78SWVersion - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1102
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void SysWDDiag_ExtractRL78SWVersion - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1102
error;test;No test cases linked or code review tag missing for symbol -> static void SysWDDiag_ExtractRL78SWVersion - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1102
error;security;security rating missing for symbol -> static void SysWDDiag_ExtractRL78FBLVersion - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1177
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void SysWDDiag_ExtractRL78FBLVersion - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1177
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void SysWDDiag_ExtractRL78FBLVersion - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1177
error;test;No test cases linked or code review tag missing for symbol -> static void SysWDDiag_ExtractRL78FBLVersion - (uint8 DataLength) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1177
error;security;security rating missing for symbol -> static void SysWDDiag_DTC000121 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1296
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void SysWDDiag_DTC000121 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1296
error;test;No test cases linked or code review tag missing for symbol -> static void SysWDDiag_DTC000121 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1296
error;security;security rating missing for symbol -> void SysWDDiag_AnalyzeRL78DiagInfoFrame - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1307
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void SysWDDiag_AnalyzeRL78DiagInfoFrame - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1307
error;security;security rating missing for symbol -> void SysWDDiag_FillDiagInfo - (uint16 *sendDiagInfo, uint16 sendDiagInfoLen) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1450
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void SysWDDiag_FillDiagInfo - (uint16 *sendDiagInfo, uint16 sendDiagInfoLen) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1450
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void SysWDDiag_FillDiagInfo - (uint16 *sendDiagInfo, uint16 sendDiagInfoLen) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1450
error;test;No test cases linked or code review tag missing for symbol -> void SysWDDiag_FillDiagInfo - (uint16 *sendDiagInfo, uint16 sendDiagInfoLen) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1450
error;security;security rating missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78HWVersion - (uint8 *const pHWVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1815
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78HWVersion - (uint8 *const pHWVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1815
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType SysWDDiag_ReadRL78HWVersion - (uint8 *const pHWVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1815
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78HWVersion - (uint8 *const pHWVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1815
error;security;security rating missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78SWVersion - (uint8 *const pSWVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1836
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78SWVersion - (uint8 *const pSWVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1836
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType SysWDDiag_ReadRL78SWVersion - (uint8 *const pSWVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1836
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78SWVersion - (uint8 *const pSWVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1836
error;security;security rating missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78FBLVersion - (uint8 *const pFBLVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1858
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78FBLVersion - (uint8 *const pFBLVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1858
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType SysWDDiag_ReadRL78FBLVersion - (uint8 *const pFBLVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1858
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78FBLVersion - (uint8 *const pFBLVersion) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1858
error;security;security rating missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78Temperature - (uint16 *const pTemperature) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1880
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78Temperature - (uint16 *const pTemperature) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1880
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType SysWDDiag_ReadRL78Temperature - (uint16 *const pTemperature) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1880
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78Temperature - (uint16 *const pTemperature) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1880
error;security;security rating missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78Voltage - (uint8 *const pVoltage) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1902
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78Voltage - (uint8 *const pVoltage) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1902
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType SysWDDiag_ReadRL78Voltage - (uint8 *const pVoltage) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1902
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType SysWDDiag_ReadRL78Voltage - (uint8 *const pVoltage) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1902
error;security;security rating missing for symbol -> Std_ReturnType SysWDDiag_DemClearEventAllowed - (boolean *Allowed) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1925
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType SysWDDiag_DemClearEventAllowed - (boolean *Allowed) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1925
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> Std_ReturnType SysWDDiag_DemClearEventAllowed - (boolean *Allowed) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1925
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType SysWDDiag_DemClearEventAllowed - (boolean *Allowed) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1925
error;security;security rating missing for symbol -> void SysWDDiag_SetDTCClearedFlag - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Diag_Chorus_RL78/SysWDDiagnosis/c/src/SysWDDiagnosis.c;1936
