level;type;description;file;line 
error;security;security rating missing for symbol -> Std_ReturnType DKY_Read_Adaption_0x0B65 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;67
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType DKY_Read_Adaption_0x0B65 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;67
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType DKY_Read_Adaption_0x0B65 - (Dcm_OpStatusType OpStatus, uint8 *Data)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;67
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType DKY_Read_Adaption_0x0B65 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;67
error;security;security rating missing for symbol -> Std_ReturnType DKY_Condition_Check_Read_0x0B65 - (Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;84
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType DKY_Condition_Check_Read_0x0B65 - (Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;84
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType DKY_Condition_Check_Read_0x0B65 - (Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;84
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType DKY_Condition_Check_Read_0x0B65 - (Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;84
error;param;param <Data> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;99
error;security;security rating missing for symbol -> Std_ReturnType DKY_Write_Adaption_0x0B65 - (const uint8 *Data, uint16 DataLength, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;99
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType DKY_Write_Adaption_0x0B65 - (const uint8 *Data, uint16 DataLength, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;99
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType DKY_Write_Adaption_0x0B65 - (const uint8 *Data, uint16 DataLength, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;99
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType DKY_Write_Adaption_0x0B65 - (const uint8 *Data, uint16 DataLength, Dcm_OpStatusType OpStatus, Dcm_NegativeResponseCodeType *ErrorCode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;99
error;security;security rating missing for symbol -> Std_ReturnType DKY_Read_Adaption_0x0B66 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;112
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType DKY_Read_Adaption_0x0B66 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;112
error;trace;satisfy or design decision tag missing for symbol -> Std_ReturnType DKY_Read_Adaption_0x0B66 - (Dcm_OpStatusType OpStatus, uint8 *Data)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;112
error;test;No test cases linked or code review tag missing for symbol -> Std_ReturnType DKY_Read_Adaption_0x0B66 - (Dcm_OpStatusType OpStatus, uint8 *Data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Adaptations/c/src/DK2_ADAPTATION.c;112
