level;type;description;file;line 
error;brief;brief description missing for symbol -> boolean TBuiltInListExt::Istverbau -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;294
error;brief;brief description missing for symbol -> boolean TBuiltInListExt::SleepIndication -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;295
error;brief;brief description missing for symbol -> boolean TBuiltInListExt::KDBit -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;296
error;brief;brief description missing for symbol -> boolean TBuiltInListExt::DiagPfad -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;297
error;brief;brief description missing for symbol -> boolean TBuiltInListExt::Authentizitat -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;298
error;brief;brief description missing for symbol -> uint8 TBuiltInListExt::DiagProt -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;299
error;brief;brief description missing for symbol -> uint8 TBuiltInListExt::KNTimeoutCounter -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;300
error;brief;brief description missing for symbol -> uint8 TBuiltInListExt::NMHTimeoutCounter -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;301
error;brief;brief description missing for symbol -> uint8 TContentListElement::BusID -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;309
error;brief;brief description missing for symbol -> uint16 TContentListElement::NodeID -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/inc/BuiltInList.h;310
error;security;security rating missing for symbol -> static void BIL_SetBILExtDefaultValues - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;231
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void BIL_SetBILExtDefaultValues - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;231
error;param;param <void> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;267
error;security;security rating missing for symbol -> static void BIL_RebuildBIL - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;267
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void BIL_RebuildBIL - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;267
error;security;security rating missing for symbol -> static void BIL_ProcessContentList - (const TContentListElement *List, uint16 Size) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;301
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void BIL_ProcessContentList - (const TContentListElement *List, uint16 Size) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;301
error;param;param <void> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;333
error;security;security rating missing for symbol -> static void BIL_ReportDTC0x300000 - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;333
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void BIL_ReportDTC0x300000 - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;333
error;param;param <void> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;365
error;security;security rating missing for symbol -> static void BIL_SetAuthenticity - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;365
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void BIL_SetAuthenticity - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/BUILTINLIST/c/src/BuiltInList.c;365
