level;type;description;file;line 
error;brief;brief description missing for symbol -> const uint8 CanNodesRangeObj::FirstNode -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;827
error;brief;brief description missing for symbol -> const uint8 CanNodesRangeObj::LastNode -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;828
error;brief;brief description missing for symbol -> const uint16 Dk2NodeTimeoutObj::EventId -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/c/src/ErrHdl_DK2_Can_Timeout_Detection.c;83
error;brief;brief description missing for symbol -> const TComChannel Dk2NodeTimeoutObj::Channel -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/c/src/ErrHdl_DK2_Can_Timeout_Detection.c;84
error;brief;brief description missing for symbol -> uint16 Dk2NodeTimeoutObj::TimeoutCounter -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/c/src/ErrHdl_DK2_Can_Timeout_Detection.c;85
error;brief;brief description missing for symbol -> uint16 ErrBuiltInListNodesObj::NumOfNodes -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;816
error;brief;brief description missing for symbol -> uint8 ErrBuiltInListNodesObj::IndexArray[256u] - [256u] variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;817
error;brief;brief description missing for symbol -> uint16 GW_Reset_Counter::NumberExternalWatchdogResets -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;837
error;brief;brief description missing for symbol -> uint16 GW_Reset_Counter::NumberDestructiveResets -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;838
error;brief;brief description missing for symbol -> uint16 GW_Reset_Counter::NumberFunctionalResets -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;839
error;brief;brief description missing for symbol -> uint16 HighTemperatureDTC::DTCnumber -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/c/src/ErrHdl_High_Temperature.c;77
error;brief;brief description missing for symbol -> uint8 HighTemperatureDTC::Timer -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/c/src/ErrHdl_High_Temperature.c;78
error;brief;brief description missing for symbol -> boolean HighTemperatureDTC::Status -  variable;D:/GIt/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/c/src/ErrHdl_High_Temperature.c;79
