level;type;description;file;line 
error;brief;brief description missing for symbol -> const uint8 CanNodesRangeObj::FirstNode -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1335
error;brief;brief description missing for symbol -> const uint8 CanNodesRangeObj::LastNode -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1336
error;brief;brief description missing for symbol -> const TComChannel ChannelMaping::Channel -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1305
error;brief;brief description missing for symbol -> const uint8 ChannelMaping::Index -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1306
error;brief;brief description missing for symbol -> EthernetBusHW ChannelMapingEthernetBusHW::Bus -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1295
error;brief;brief description missing for symbol -> uint8 ChannelMapingEthernetBusHW::Index -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1296
error;brief;brief description missing for symbol -> EthernetBusIP ChannelMapingEthernetBusIP::Bus -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1285
error;brief;brief description missing for symbol -> uint8 ChannelMapingEthernetBusIP::Index -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1286
error;brief;brief description missing for symbol -> uint16 ErrBuiltInListNodesObj::NumOfNodes -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1325
error;brief;brief description missing for symbol -> uint8 ErrBuiltInListNodesObj::IndexArray - [256u] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1326
error;brief;brief description missing for symbol -> uint16 GW_Reset_Counter::NumberExternalWatchdogResets -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1344
error;brief;brief description missing for symbol -> uint16 GW_Reset_Counter::NumberDestructiveResets -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1345
error;brief;brief description missing for symbol -> uint16 GW_Reset_Counter::NumberFunctionalResets -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1346
error;brief;brief description missing for symbol -> const uint8 LinNodeFrameRangeObj::FirstFrame -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1315
error;brief;brief description missing for symbol -> const uint8 LinNodeFrameRangeObj::LastFrame -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1316
error;brief;brief description missing for symbol -> TModulIdent TErrDataObject::ModulIdentifier -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1274
error;brief;brief description missing for symbol -> uint32 TErrDataObject::ErrHdlTickcounter -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1275
error;brief;brief description missing for symbol -> TEVoltageRange TErrDataObject::VoltageRange -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/Evo/inc/ErrHdl_Types.h;1276
error;brief;brief description missing for symbol -> boolean TErrEthernet::adressIPV6Conflict -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/c/src/ErrHdl_Ethernet_Communication.c;67
error;brief;brief description missing for symbol -> boolean TErrEthernet::globalSynchronizationFault -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/ERRHDL_MQB/c/src/ErrHdl_Ethernet_Communication.c;68
