level;type;description;file;line 
error;brief;brief description missing for symbol -> unsigned char _FBLIdentification::CustomerCode -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/src/Identification.c;340
error;brief;brief description missing for symbol -> unsigned char _FBLIdentification::SoftwareCode -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/src/Identification.c;341
error;brief;brief description missing for symbol -> unsigned char _FBLIdentification::VariantType -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/src/Identification.c;342
error;brief;brief description missing for symbol -> unsigned char _FBLIdentification::MajorNumb -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/src/Identification.c;343
error;brief;brief description missing for symbol -> unsigned char _FBLIdentification::MinorNumb -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/src/Identification.c;344
error;brief;brief description missing for symbol -> unsigned char _FBLIdentification::CompatibelIdx[2] - [2] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/src/Identification.c;345
error;brief;brief description missing for symbol -> unsigned char _FBLIdentification::IdentFree[5] - [5] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/src/Identification.c;346
error;brief;brief description missing for symbol -> TSwCoNumber T_0x1AF_SwCoIdentification::SwCoNumber -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/inc/SWCO_Identification.h;241
error;brief;brief description missing for symbol -> TGW2020SystemnameOrEngineType_F197 T_0x1AF_SwCoIdentification::SwcoSysName -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/inc/SWCO_Identification.h;242
error;brief;brief description missing for symbol -> TVendorId T_0x1AF_SwCoIdentification::VendorId -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/Identification/c/inc/SWCO_Identification.h;243
