level;type;description;file;line 
error;enum;enum variable<eKRM_DeactivationRequest> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;201
error;enum;enum variable<eKRM_ActivationRequest> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;201
error;enum;enum variable<eKRM_InvalidRequest> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;201
error;security;security rating missing for symbol -> static Std_ReturnType KRMIsVoltageOutOfRange - (boolean *IsOutOfRange) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;286
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType KRMIsVoltageOutOfRange - (boolean *IsOutOfRange) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;286
error;test;No test cases linked or code review tag missing for symbol -> static Std_ReturnType KRMIsVoltageOutOfRange - (boolean *IsOutOfRange) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;286
error;security;security rating missing for symbol -> static T_KRM_RequestType getRequestType - (const uint8 *data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;331
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static T_KRM_RequestType getRequestType - (const uint8 *data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;331
error;test;No test cases linked or code review tag missing for symbol -> static T_KRM_RequestType getRequestType - (const uint8 *data) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;331
error;security;security rating missing for symbol -> static boolean areConditionsValid - (T_KRM_RequestType a_eRequestType) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;382
