level;type;description;file;line 
error;enum;enum variable<eKRM_DeactivationRequest> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;162
error;enum;enum variable<eKRM_ActivationRequest> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;162
error;enum;enum variable<eKRM_InvalidRequest> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;162
error;security;security rating missing for symbol -> static T_KRM_RequestType getRequestType - (const uint8 *data) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;249
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static T_KRM_RequestType getRequestType - (const uint8 *data) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;249
error;test;No test cases linked or code review tag missing for symbol -> static T_KRM_RequestType getRequestType - (const uint8 *data) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;249
error;security;security rating missing for symbol -> static boolean areConditionsValid - (T_KRM_RequestType a_eRequestType) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;300
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean areConditionsValid - (T_KRM_RequestType a_eRequestType) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;300
error;test;No test cases linked or code review tag missing for symbol -> static boolean areConditionsValid - (T_KRM_RequestType a_eRequestType) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;300
error;security;security rating missing for symbol -> static Std_ReturnType proceedRequest - (T_KRM_RequestType a_eRequestType) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;354
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType proceedRequest - (T_KRM_RequestType a_eRequestType) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;354
error;test;No test cases linked or code review tag missing for symbol -> static Std_ReturnType proceedRequest - (T_KRM_RequestType a_eRequestType) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;354
error;security;security rating missing for symbol -> static boolean getDTCEventStatus - (const Dem_EventIdType eventNumber) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;405
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean getDTCEventStatus - (const Dem_EventIdType eventNumber) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;405
error;test;No test cases linked or code review tag missing for symbol -> static boolean getDTCEventStatus - (const Dem_EventIdType eventNumber) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;405
error;security;security rating missing for symbol -> static boolean checkConditions - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/KRM/c/src/KRMActivation.c;460
