level;type;description;file;line 
error;brief;brief description missing for symbol -> TModulIdent _TCentAND_DataRam::CentAND_ModulIdentifier -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;207
error;brief;brief description missing for symbol -> TE_CentAND_NwdfState _TCentAND_DataRam::NWDF -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;209
error;brief;brief description missing for symbol -> TE_CentAND_NwdfState _TCentAND_DataRam::NWDF2 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;211
error;brief;brief description missing for symbol -> TE_CNAD_MasterState _TCentAND_DataRam::MasterState -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;213
error;brief;brief description missing for symbol -> TE_CNAD_MasterState _TCentAND_DataRam::MasterState2 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;215
error;brief;brief description missing for symbol -> TE_CNAD_Startvorgang _TCentAND_DataRam::Startvorgang -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;217
error;brief;brief description missing for symbol -> TE_CNAD_Kl15 _TCentAND_DataRam::Kl15 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;219
error;brief;brief description missing for symbol -> TE_CNAD_SlaveState _TCentAND_DataRam::SlaveState -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;221
error;brief;brief description missing for symbol -> TCentAND_States _TCentAND_DataRam::OldStates -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;223
error;brief;brief description missing for symbol -> Tuint8 _TCentAND_States::s_Klemme50 -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/inc/CentrActivationNetDiag.h;193
error;brief;brief description missing for symbol -> Tuint8 _TCentAND_States::s_Wiederstart -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/inc/CentrActivationNetDiag.h;194
error;brief;brief description missing for symbol -> Tuint8 _TCentAND_States::s_Lastabwurf -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/inc/CentrActivationNetDiag.h;195
error;brief;brief description missing for symbol -> Tuint16 _TCentAND_States::s_Drehzahl -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/inc/CentrActivationNetDiag.h;196
error;enum;enum variable<E_CENT_ACT_ND_NWDF_INACTIVE> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;153
error;enum;enum variable<E_CENT_ACT_ND_NWDF_ACTIVE> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;153
error;enum;enum variable<E_CENT_ACT_ND_STARTVORGANG_INACTIVE> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;163
