level;type;description;file;line 
error;brief;brief description missing for symbol -> Tuint8 _TCentAND_States::s_Klemme50 -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/inc/CentrActivationNetDiag.h;171
error;brief;brief description missing for symbol -> Tuint8 _TCentAND_States::s_Wiederstart -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/inc/CentrActivationNetDiag.h;172
error;brief;brief description missing for symbol -> Tuint8 _TCentAND_States::s_Lastabwurf -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/inc/CentrActivationNetDiag.h;173
error;brief;brief description missing for symbol -> Tuint16 _TCentAND_States::s_Drehzahl -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/inc/CentrActivationNetDiag.h;174
error;enum;enum variable<E_CENT_ACT_ND_STARTVORGANG_INACTIVE> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;151
error;enum;enum variable<E_CENT_ACT_ND_STARTVORGANG_ACTIVE> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;151
error;enum;enum variable<E_CENT_ACT_ND_VOLTAGE_NORMAL> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;162
error;enum;enum variable<E_CENT_ACT_ND_VOLTAGE_EXCEPTION> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;162
error;enum;enum variable<E_CENT_ACT_ND_KL15_OFF_MASTER> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;173
error;enum;enum variable<E_CENT_ACT_ND_KL15_ON_MASTER> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;173
error;enum;enum variable<E_CENT_ACT_ND_KL15_OFF> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;184
error;enum;enum variable<E_CENT_ACT_ND_T_DIAG_START_ACTIVE> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;184
error;enum;enum variable<E_CENT_ACT_ND_NET_DIAG_ACTIVE> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;184
error;enum;enum variable<E_CENT_ACT_ND_NET_DIAG_INACTIVE> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;184
error;brief;brief description missing for symbol -> uint8 ui8_IRQ_PowerFailCentAND_Nwdf -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;126
error;security;security rating missing for symbol -> PRIVATE_FCT TsintR32 CentAND_Setup - (TModulIdent ModulIdentifier, TStartmode Startmode) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;299
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> PRIVATE_FCT TsintR32 CentAND_Setup - (TModulIdent ModulIdentifier, TStartmode Startmode) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;299
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> PRIVATE_FCT TsintR32 CentAND_Setup - (TModulIdent ModulIdentifier, TStartmode Startmode) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;299
error;security;security rating missing for symbol -> PRIVATE_FCT TsintR32 CentAND_StartStop - (TStartStopNotify Notify) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;330
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> PRIVATE_FCT TsintR32 CentAND_StartStop - (TStartStopNotify Notify) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;330
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> PRIVATE_FCT TsintR32 CentAND_StartStop - (TStartStopNotify Notify) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;330
error;test;No test cases linked or code review tag missing for symbol -> PRIVATE_FCT TsintR32 CentAND_StartStop - (TStartStopNotify Notify) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;330
error;security;security rating missing for symbol -> PRIVATE_FCT TsintR32 CentAND_IsAlive - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;361
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> PRIVATE_FCT TsintR32 CentAND_IsAlive - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;361
error;trace;satisfy or design decision tag missing for symbol -> PRIVATE_FCT TsintR32 CentAND_IsAlive - (void)function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;361
error;test;No test cases linked or code review tag missing for symbol -> PRIVATE_FCT TsintR32 CentAND_IsAlive - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;361
error;security;security rating missing for symbol -> PRIVATE_FCT void CentAND_Init - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;392
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> PRIVATE_FCT void CentAND_Init - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;392
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> PRIVATE_FCT void CentAND_Init - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;392
error;security;security rating missing for symbol -> PRIVATE_FCT void CentAND_Stop - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;423
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> PRIVATE_FCT void CentAND_Stop - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;423
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> PRIVATE_FCT void CentAND_Stop - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;423
error;security;security rating missing for symbol -> PRIVATE_FCT void CentAND_Start - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/NetworkDiagnosisFlag/c/src/CentrActivationNetDiag.c;457
