level;type;description;file;line 
error;brief;brief description missing for symbol -> TRoutineIndex TRoutineConfig::eRoutineIndex -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;127
error;brief;brief description missing for symbol -> Std_ReturnType(* TRoutineConfig::handleAbortRoutine) (void) - )(void) variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;128
error;brief;brief description missing for symbol -> boolean TRoutineConfig::fAbortDuringClamp15OffDefaultSession -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;129
error;brief;brief description missing for symbol -> boolean TRoutineConfig::fAbortDuringClamp15On -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;130
error;brief;brief description missing for symbol -> boolean TRoutineConfig::fAbortOnDiagnosticSessionChange -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;131
error;brief;brief description missing for symbol -> TRoutineStatus TRoutinesCurrentStatus::asActualRoutineStatus[RC_ROUTINE_INDEX_ARRAY_SIZE] - [RC_ROUTINE_INDEX_ARRAY_SIZE] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;104
error;brief;brief description missing for symbol -> Tuint8 TRoutinesCurrentStatus::uExecutedRoutinesCounter -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;105
error;brief;brief description missing for symbol -> TRoutineIndex TTimeBasedRoutineConfig::eRoutineIndex -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;114
error;brief;brief description missing for symbol -> boolean TTimeBasedRoutineConfig::fActive -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;115
error;brief;brief description missing for symbol -> const Tuint8 TTimeBasedRoutineConfig::uTaskCycles -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;116
error;brief;brief description missing for symbol -> Tuint8 TTimeBasedRoutineConfig::uTaskCyclesCounter -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;117
error;brief;brief description missing for symbol -> void(* TTimeBasedRoutineConfig::handleTimeExpired) (void) - )(void) variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;118
error;security;security rating missing for symbol -> static boolean areRoutine0x0580OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;252
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean areRoutine0x0580OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;252
error;trace;satisfy or design decision tag missing for symbol -> static boolean areRoutine0x0580OptionsValid - (uint32 inParam0)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;252
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void GW_Routine_0xC00E_SetInfo - (TRoutineResult p_status) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;290
error;trace;satisfy or design decision tag missing for symbol -> static void GW_Routine_0xC00E_SetInfo - (TRoutineResult p_status)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;290
error;security;security rating missing for symbol -> static boolean areRoutine0x03E7OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;329
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean areRoutine0x03E7OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;329
error;trace;satisfy or design decision tag missing for symbol -> static boolean areRoutine0x03E7OptionsValid - (uint32 inParam0)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;329
error;security;security rating missing for symbol -> static boolean areRoutine0x05E3OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;367
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean areRoutine0x05E3OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;367
error;trace;satisfy or design decision tag missing for symbol -> static boolean areRoutine0x05E3OptionsValid - (uint32 inParam0)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;367
error;security;security rating missing for symbol -> static boolean areRoutine0x05E4OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;406
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean areRoutine0x05E4OptionsValid - (uint32 inParam0) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;406
error;trace;satisfy or design decision tag missing for symbol -> static boolean areRoutine0x05E4OptionsValid - (uint32 inParam0)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/GWRoutines.c;406
