level;type;description;file;line 
error;brief;brief description missing for symbol -> TRoutineIndex TRoutineConfig::eRoutineIndex -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;92
error;brief;brief description missing for symbol -> Std_ReturnType(* TRoutineConfig::handleAbortRoutine) (void) - )(void) variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;93
error;brief;brief description missing for symbol -> boolean TRoutineConfig::fAbortDuringClamp15OffDefaultSession -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;94
error;brief;brief description missing for symbol -> boolean TRoutineConfig::fAbortDuringClamp15On -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;95
error;brief;brief description missing for symbol -> boolean TRoutineConfig::fAbortOnDiagnosticSessionChange -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;96
error;brief;brief description missing for symbol -> TRoutineStatus TRoutinesCurrentStatus::asActualRoutineStatus[RC_ROUTINE_INDEX_ARRAY_SIZE] - [RC_ROUTINE_INDEX_ARRAY_SIZE] variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;75
error;brief;brief description missing for symbol -> Tuint8 TRoutinesCurrentStatus::uExecutedRoutinesCounter -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;76
error;brief;brief description missing for symbol -> TRoutineIndex TTimeBasedRoutineConfig::eRoutineIndex -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;82
error;brief;brief description missing for symbol -> boolean TTimeBasedRoutineConfig::fActive -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;83
error;brief;brief description missing for symbol -> const Tuint8 TTimeBasedRoutineConfig::uTaskCycles -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/ECU_DIAG_Chorus/RoutineControl/c/src/RoutineControl.c;84
