level;type;description;file;line 
error;brief;brief description missing for symbol -> SoMgr_SocketHdlType DoIP_StatusType::SoMgr_SocketDefId_UDP_DISCOVERY_Tester -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Main.h;309
error;param;param <None> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;152
error;security;security rating missing for symbol -> void DoIP_Client_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;152
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void DoIP_Client_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;152
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void DoIP_Client_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;152
error;test;No test cases linked or code review tag missing for symbol -> void DoIP_Client_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;152
error;security;security rating missing for symbol -> uint16 GetTesterID - (SoMgr_SocketHdlType SocketHdl) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;175
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 GetTesterID - (SoMgr_SocketHdlType SocketHdl) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;175
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> uint16 GetTesterID - (SoMgr_SocketHdlType SocketHdl) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;175
error;test;No test cases linked or code review tag missing for symbol -> uint16 GetTesterID - (SoMgr_SocketHdlType SocketHdl) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;175
error;param;param <None> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;200
error;security;security rating missing for symbol -> boolean DoIP_Client_IsOnboardTesterActivated - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;200
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean DoIP_Client_IsOnboardTesterActivated - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;200
error;test;No test cases linked or code review tag missing for symbol -> boolean DoIP_Client_IsOnboardTesterActivated - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;200
error;param;param <None> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;225
error;security;security rating missing for symbol -> boolean DoIP_Client_IsOffboardTesterActivated - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;225
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean DoIP_Client_IsOffboardTesterActivated - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;225
error;test;No test cases linked or code review tag missing for symbol -> boolean DoIP_Client_IsOffboardTesterActivated - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;225
error;param;param <None> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;249
error;security;security rating missing for symbol -> uint16 DoIP_Client_GetNumberOfActiveSockets - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;249
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 DoIP_Client_GetNumberOfActiveSockets - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;249
error;test;No test cases linked or code review tag missing for symbol -> uint16 DoIP_Client_GetNumberOfActiveSockets - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;249
error;param;param <None> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;275
error;security;security rating missing for symbol -> TcpIp_SockAddrType* DoIP_Client_GetTesterUdpSockAddr - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;275
