level;type;description;file;line 
error;brief;brief description missing for symbol -> SoMgr_SocketHdlType DoIP_StatusType::SoMgr_SocketDefId_UDP_DISCOVERY_Tester -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Main.h;312
error;param;param <None> has no description;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;154
error;security;security rating missing for symbol -> void DoIP_Client_Init - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;154
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void DoIP_Client_Init - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;154
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void DoIP_Client_Init - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;154
error;test;No test cases linked or code review tag missing for symbol -> void DoIP_Client_Init - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;154
error;security;security rating missing for symbol -> uint16 GetTesterID - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;177
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 GetTesterID - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;177
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> uint16 GetTesterID - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;177
error;test;No test cases linked or code review tag missing for symbol -> uint16 GetTesterID - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;177
error;param;param <None> has no description;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;204
error;security;security rating missing for symbol -> boolean DoIP_Client_IsOnboardTesterActivated - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;204
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean DoIP_Client_IsOnboardTesterActivated - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;204
error;test;No test cases linked or code review tag missing for symbol -> boolean DoIP_Client_IsOnboardTesterActivated - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;204
error;param;param <None> has no description;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;231
error;security;security rating missing for symbol -> boolean DoIP_Client_IsOffboardTesterActivated - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;231
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean DoIP_Client_IsOffboardTesterActivated - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;231
error;test;No test cases linked or code review tag missing for symbol -> boolean DoIP_Client_IsOffboardTesterActivated - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;231
error;param;param <None> has no description;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;256
error;security;security rating missing for symbol -> uint16 DoIP_Client_GetNumberOfActiveSockets - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;256
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 DoIP_Client_GetNumberOfActiveSockets - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;256
error;test;No test cases linked or code review tag missing for symbol -> uint16 DoIP_Client_GetNumberOfActiveSockets - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;256
error;param;param <None> has no description;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;281
error;security;security rating missing for symbol -> TcpIp_SockAddrType* DoIP_Client_GetTesterUdpSockAddr - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;281
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> TcpIp_SockAddrType* DoIP_Client_GetTesterUdpSockAddr - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;281
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> TcpIp_SockAddrType* DoIP_Client_GetTesterUdpSockAddr - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;281
error;test;No test cases linked or code review tag missing for symbol -> TcpIp_SockAddrType* DoIP_Client_GetTesterUdpSockAddr - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;281
error;security;security rating missing for symbol -> uint16 DoIP_Client_GetTcpTesterLogAddrFromSocketHdl - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;304
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 DoIP_Client_GetTcpTesterLogAddrFromSocketHdl - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;304
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> uint16 DoIP_Client_GetTcpTesterLogAddrFromSocketHdl - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;304
error;test;No test cases linked or code review tag missing for symbol -> uint16 DoIP_Client_GetTcpTesterLogAddrFromSocketHdl - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;304
error;security;security rating missing for symbol -> uint16 DoIP_Client_GetTcpTesterLogAddr - (uint8 enTester) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;329
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 DoIP_Client_GetTcpTesterLogAddr - (uint8 enTester) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;329
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> uint16 DoIP_Client_GetTcpTesterLogAddr - (uint8 enTester) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;329
error;test;No test cases linked or code review tag missing for symbol -> uint16 DoIP_Client_GetTcpTesterLogAddr - (uint8 enTester) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;329
error;param;param <None> has no description;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;354
error;security;security rating missing for symbol -> uint16 DoIP_Client_GetTcpTesterSocketHdl - (uint8 enTester) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;354
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 DoIP_Client_GetTcpTesterSocketHdl - (uint8 enTester) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;354
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> uint16 DoIP_Client_GetTcpTesterSocketHdl - (uint8 enTester) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;354
error;test;No test cases linked or code review tag missing for symbol -> uint16 DoIP_Client_GetTcpTesterSocketHdl - (uint8 enTester) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;354
error;security;security rating missing for symbol -> uint16 DoIP_Client_GetTcpTesterSocketHdlFromLogAddr - (uint16 LogAddr) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;377
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 DoIP_Client_GetTcpTesterSocketHdlFromLogAddr - (uint16 LogAddr) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;377
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> uint16 DoIP_Client_GetTcpTesterSocketHdlFromLogAddr - (uint16 LogAddr) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;377
error;test;No test cases linked or code review tag missing for symbol -> uint16 DoIP_Client_GetTcpTesterSocketHdlFromLogAddr - (uint16 LogAddr) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;377
error;security;security rating missing for symbol -> uint16 DoIP_Client_AddTesterUdp - (SoMgr_SocketHdlType SocketHdl, const TcpIp_SockAddrType *RemoteAddrPtr) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;403
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint16 DoIP_Client_AddTesterUdp - (SoMgr_SocketHdlType SocketHdl, const TcpIp_SockAddrType *RemoteAddrPtr) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;403
error;test;No test cases linked or code review tag missing for symbol -> uint16 DoIP_Client_AddTesterUdp - (SoMgr_SocketHdlType SocketHdl, const TcpIp_SockAddrType *RemoteAddrPtr) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;403
error;security;security rating missing for symbol -> Std_ReturnType DoIP_Client_TcpAccepted - (SoMgr_SocketHdlType SocketHdl, TcpIp_SockAddrType *RemoteAddrPtr) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/DoIp/c/inc/DoIP_Client.h;429
