level;type;description;file;line 
error;brief;brief description missing for symbol -> SOMGR_SOCK_TYPE SoMgr_SocketDefType::SockType -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr_Def.h;229
error;brief;brief description missing for symbol -> TcpIp_DomainType SoMgr_SocketDefType::Domain -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr_Def.h;230
error;brief;brief description missing for symbol -> TcpIp_LocalAddrIdType SoMgr_SocketDefType::LocalIpAddrId -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr_Def.h;231
error;brief;brief description missing for symbol -> uint16 SoMgr_SocketDefType::LocalPort -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr_Def.h;232
error;brief;brief description missing for symbol -> const TcpIp_SockAddrType* SoMgr_SocketDefType::pRemoteAddr -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr_Def.h;233
error;brief;brief description missing for symbol -> SoMgr_RxIndicationFpType SoMgr_SocketDefType::pFuncRxIndication -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr_Def.h;234
error;brief;brief description missing for symbol -> SoMgr_TcpAcceptedFpType SoMgr_SocketDefType::pFuncTcpAccepted -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr_Def.h;235
error;brief;brief description missing for symbol -> SoMgr_TcpConnectedFpType SoMgr_SocketDefType::pFuncTcpConnected -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr_Def.h;236
error;brief;brief description missing for symbol -> TcpIp_SocketIdType SoMgr_SockType::SocketId -  variable;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;276
error;security;security rating missing for symbol -> static boolean SoMgr_IsRemoteAddrValid - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/src/SoMgr.c;97
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean SoMgr_IsRemoteAddrValid - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/src/SoMgr.c;97
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static boolean SoMgr_IsRemoteAddrValid - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/src/SoMgr.c;97
error;test;No test cases linked or code review tag missing for symbol -> static boolean SoMgr_IsRemoteAddrValid - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/src/SoMgr.c;97
error;security;security rating missing for symbol -> static void SoMgr_InitSocket - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/src/SoMgr.c;122
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void SoMgr_InitSocket - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/src/SoMgr.c;122
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static void SoMgr_InitSocket - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/src/SoMgr.c;122
error;test;No test cases linked or code review tag missing for symbol -> static void SoMgr_InitSocket - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/src/SoMgr.c;122
error;param;param <None> has no description;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;391
error;security;security rating missing for symbol -> uint32 SoMgr_Init - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;391
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> uint32 SoMgr_Init - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;391
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> uint32 SoMgr_Init - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;391
error;test;No test cases linked or code review tag missing for symbol -> uint32 SoMgr_Init - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;391
error;security;security rating missing for symbol -> void SoMgr_ReleaseSocket - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;418
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void SoMgr_ReleaseSocket - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;418
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void SoMgr_ReleaseSocket - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;418
error;test;No test cases linked or code review tag missing for symbol -> void SoMgr_ReleaseSocket - (SoMgr_SocketHdlType SocketHdl) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;418
error;param;param <None> has no description;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;437
error;security;security rating missing for symbol -> void SoMgr_MainFunction - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;437
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void SoMgr_MainFunction - (void) function;D:/git/Chorus_V2/sw.sys.chorus_main_build/mc_sw/cdd/Ethernet/SoMgr/c/inc/SoMgr.h;437
