level;type;description;file;line 
error;brief;brief description missing for symbol -> T_CrcHsm_Status T_CrcHsm_Context_s::Status -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;134
error;brief;brief description missing for symbol -> uint8 T_CrcHsm_Context_s::HsmChannelId -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;135
error;brief;brief description missing for symbol -> uint8 T_CrcHsm_Context_s::pCrcHsm_Hash[32u] - [32u] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;136
error;security;security rating missing for symbol -> static void CRC32_Mng_CrcHsm_HashGetResp - (uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;210
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void CRC32_Mng_CrcHsm_HashGetResp - (uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;210
error;trace;satisfy or design decision tag missing for symbol -> static void CRC32_Mng_CrcHsm_HashGetResp - (uint32 *pCrcVal)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;210
error;test;No test cases linked or code review tag missing for symbol -> static void CRC32_Mng_CrcHsm_HashGetResp - (uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;210
error;security;security rating missing for symbol -> static uint8 CRC32_Mng_CrcHsm_HsmChannelAllocate - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;259
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static uint8 CRC32_Mng_CrcHsm_HsmChannelAllocate - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;259
error;test;No test cases linked or code review tag missing for symbol -> static uint8 CRC32_Mng_CrcHsm_HsmChannelAllocate - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;259
error;security;security rating missing for symbol -> static void CRC32_Mng_CrcHsm_HsmChannelRelease - (uint8 *channelIdPtr) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;307
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void CRC32_Mng_CrcHsm_HsmChannelRelease - (uint8 *channelIdPtr) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;307
error;test;No test cases linked or code review tag missing for symbol -> static void CRC32_Mng_CrcHsm_HsmChannelRelease - (uint8 *channelIdPtr) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/src/CRC32_Mng_CrcHsm.c;307
error;enum;enum variable<ENUM_CRC_HSM_STATUS_INIT> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;63
error;enum;enum variable<ENUM_CRC_HSM_STATUS_PENDING> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;63
error;enum;enum variable<ENUM_CRC_HSM_STATUS_FINISHED> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;63
error;enum;enum variable<ENUM_CRC_HSM_STATUS_ERROR_INVALID_REQ_TYPE> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;63
error;enum;enum variable<ENUM_CRC_HSM_STATUS_ERROR_SOURCE> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;63
error;enum;enum variable<ENUM_CRC_HSM_STATUS_ERROR_HSM_UNSUPPORTED_CALC_FW_HASH> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;63
error;enum;enum variable<ENUM_CRC_HSM_STATUS_ERROR_CALCULATION> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;63
error;enum;enum variable<ENUM_CRC_HSM_STATUS_MAX> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;63
error;enum;enum variable<ENUM_CRC_HSM_REQ_TYPE_READ_RECALC> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;82
error;enum;enum variable<ENUM_CRC_HSM_REQ_TYPE_RECALC> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;82
error;enum;enum variable<ENUM_CRC_HSM_REQ_TYPE_MAX> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;82
error;security;security rating missing for symbol -> void CRC32_Mng_CrcHsm_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;134
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void CRC32_Mng_CrcHsm_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;134
error;trace;satisfy or design decision tag missing for symbol -> void CRC32_Mng_CrcHsm_Init - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;134
error;test;No test cases linked or code review tag missing for symbol -> void CRC32_Mng_CrcHsm_Init - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;134
error;security;security rating missing for symbol -> T_CrcHsm_Status CRC32_Mng_CrcHsm_CrcReq - (T_CrcHsm_ReqType reqType, uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;183
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> T_CrcHsm_Status CRC32_Mng_CrcHsm_CrcReq - (T_CrcHsm_ReqType reqType, uint32 *pCrcVal) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/IVD/Evo/CRC32_Mng_CrcHsm/inc/CRC32_Mng_CrcHsm.h;183
