level;type;description;file;line 
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::KDBitWasReceived -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;94
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::ServiceKeyEnabled -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;95
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::Kl15Status -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;96
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::SammelFehlerLast -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;97
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::ServiceKeyCount -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;98
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ComputeKDBitInfo - (Tuint8 IsGWFailureSet) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;276
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void KdBitNodemessageReceived - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;360
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void SystemInfo_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;366
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void KdBitNodemessageReceived - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;144
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void SystemInfo_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;178
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void KdBitNodemessageReceived - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;144
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void SystemInfo_Cyclic - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;178
