level;type;description;file;line 
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::KDBitWasReceived -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;59
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::ServiceKeyEnabled -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;60
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::Kl15Status -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;61
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::SammelFehlerLast -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;62
error;brief;brief description missing for symbol -> Tuint8 tag_TKDBitInformation::ServiceKeyCount -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;63
error;brief;brief description missing for symbol -> Tuint8 SystemInfoStartupDone -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;178
error;param;param <NA> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;222
error;security;security rating missing for symbol -> void ComputeKDBitInfo - (Tuint8 IsGWFailureSet) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;222
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ComputeKDBitInfo - (Tuint8 IsGWFailureSet) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;222
error;param;param <NA> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;326
error;security;security rating missing for symbol -> void KdBitNodemessageReceived - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;326
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void KdBitNodemessageReceived - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;326
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void KdBitNodemessageReceived - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/src/KdBit.c;326
error;brief;brief description missing for symbol -> Tuint8 SystemInfoStartupDone -  variable;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;67
error;param;param <NA> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;68
error;security;security rating missing for symbol -> void ComputeKDBitInfo - (Tuint8 IsGWFailureSet) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;68
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void ComputeKDBitInfo - (Tuint8 IsGWFailureSet) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;68
error;param;param <NA> has no description;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;69
error;security;security rating missing for symbol -> void KdBitNodemessageReceived - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;69
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void KdBitNodemessageReceived - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;69
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void KdBitNodemessageReceived - (void) function;D:/My_SandBoxes/B_S/VW/ICAS_Git/sw.sys.chorus_main_build/mc_sw/cdd/KDBit_MQB/KDBit_MQB/c/inc/KDBit.h;69
