level;type;description;file;line 
error;brief;brief description missing for symbol -> Tuint8 _TLinChannelInit::LinTxObjNum -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/inc/ConfigLin.h;265
error;brief;brief description missing for symbol -> struct _TLinStatus::@0  _TLinStatus::_b -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/inc/ConfigLin.h;373
error;brief;brief description missing for symbol -> volatile l_schedule_handle LinScheduleDataT::activatedSchedule -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/src/LinSchedule.c;111
error;security;security rating missing for symbol -> void LinDoLinMsgRouting - (const TComChannel linComChannel, const TLinStatus LinStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/src/ConfigLin.c;82
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void LinDoLinMsgRouting - (const TComChannel linComChannel, const TLinStatus LinStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/src/ConfigLin.c;82
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void LinDoLinMsgRouting - (const TComChannel linComChannel, const TLinStatus LinStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/src/ConfigLin.c;82
error;test;No test cases linked or code review tag missing for symbol -> void LinDoLinMsgRouting - (const TComChannel linComChannel, const TLinStatus LinStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/src/ConfigLin.c;82
error;security;security rating missing for symbol -> void LinDoLinMsgRouting - (const TComChannel linComChannel, const TLinStatus LinStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/inc/ConfigLin.h;486
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void LinDoLinMsgRouting - (const TComChannel linComChannel, const TLinStatus LinStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/inc/ConfigLin.h;486
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void LinDoLinMsgRouting - (const TComChannel linComChannel, const TLinStatus LinStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/inc/ConfigLin.h;486
error;test;No test cases linked or code review tag missing for symbol -> void LinDoLinMsgRouting - (const TComChannel linComChannel, const TLinStatus LinStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/inc/ConfigLin.h;486
error;security;security rating missing for symbol -> static void LinInt_InitializeInterface - (const uint8 linIndex) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/LIN_Com/LIN_Integration/c/src/LinIntegration.c;221
