level;type;description;file;line 
error;brief;brief description missing for symbol -> uint8 LdCom_PduInfoType::arrayIndex -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/src/LdCom_GwAdapter.c;69
error;brief;brief description missing for symbol -> uint8 LdCom_PduInfoType::payload[(11U)] - [(11U)] variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/src/LdCom_GwAdapter.c;70
error;brief;brief description missing for symbol -> PduIdType LdComIPduRxIndicationMiniComServSetterType::RxPduId -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;149
error;brief;brief description missing for symbol -> void(* LdComIPduRxIndicationMiniComServSetterType::fun_ptr) (uint8 *array, uint16 length, uint32 request_id, uint16 PduDest) - )(uint8 *array, uint16 length, uint32 request_id, uint16 PduDest) variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;150
error;brief;brief description missing for symbol -> uint16 LdComIPduRxIndicationMiniComServSetterType::SoAdConf_SoAdPduRoute -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;151
error;brief;brief description missing for symbol -> PduIdType LdComIPduRxIndicationRteReadPncType::RxPduId -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;133
error;brief;brief description missing for symbol -> void(* LdComIPduRxIndicationRteReadPncType::fun_ptr) (uint8 *array, uint8 MessageType) - )(uint8 *array, uint8 MessageType) variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;134
error;brief;brief description missing for symbol -> uint8 LdComIPduRxIndicationRteReadPncType::MessageType -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;135
error;brief;brief description missing for symbol -> PduIdType LdComIPduRxIndicationRteType::RxPduId -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;117
error;brief;brief description missing for symbol -> void(* LdComIPduRxIndicationRteType::fun_ptr) (uint8 *array, uint8 MessageType, uint32 request_id) - )(uint8 *array, uint8 MessageType, uint32 request_id) variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;118
error;brief;brief description missing for symbol -> uint8 LdComIPduRxIndicationRteType::MessageType -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/SomeIP/SomeIP/c/inc/Cdd_SOMEIP.h;119
