level;type;description;file;line 
error;brief;brief description missing for symbol -> uint8 DiagnosticTimer::Value -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;191
error;brief;brief description missing for symbol -> TimerState DiagnosticTimer::Status -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;192
error;brief;brief description missing for symbol -> ConditionVehicleSpeed vehicleSpeedTimer::si_Status -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;197
error;brief;brief description missing for symbol -> uint8 vehicleSpeedTimer::TimerValue -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;198
error;security;security rating missing for symbol -> static void setNMDiagActive - (boolean State) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;429
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void setNMDiagActive - (boolean State) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;429
error;security;security rating missing for symbol -> static void RetriggerNMDiagActiveTimerOnDiagnosticRequest - (boolean DiagnosticActiveStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;475
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void RetriggerNMDiagActiveTimerOnDiagnosticRequest - (boolean DiagnosticActiveStatus) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;475
error;security;security rating missing for symbol -> static void ProcessTDiagEnable - (TClamp15StateChange clamp15Change) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;520
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ProcessTDiagEnable - (TClamp15StateChange clamp15Change) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;520
error;security;security rating missing for symbol -> static void ProcessNMDiagAcive - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;565
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ProcessNMDiagAcive - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;565
error;security;security rating missing for symbol -> static void processDrivingCycleTimer - (TClamp15StateChange clamp15Change) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;609
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void processDrivingCycleTimer - (TClamp15StateChange clamp15Change) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;609
error;security;security rating missing for symbol -> static void ProcessVehicleSpeed - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;653
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ProcessVehicleSpeed - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;653
error;security;security rating missing for symbol -> static void ProcessSI_DiagnoseActive - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;696
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void ProcessSI_DiagnoseActive - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;696
error;trace;satisfy or design decision tag missing for symbol -> static void ProcessSI_DiagnoseActive - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;696
error;security;security rating missing for symbol -> static void decrementSI_DiagnoseActiveTimer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;739
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void decrementSI_DiagnoseActiveTimer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;739
error;security;security rating missing for symbol -> static void update_SI_DiagnoseActive_Signal - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;783
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void update_SI_DiagnoseActive_Signal - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;783
error;security;security rating missing for symbol -> static void update_SI_DiagnoseActive_SignalForSPN - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;827
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void update_SI_DiagnoseActive_SignalForSPN - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;827
error;security;security rating missing for symbol -> void RetriggerSI_DiagnoseAktivTimer - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/DiagnosticTimers/c/src/DiagnosticTimers.c;1042
