level;type;description;file;line 
error;security;security rating missing for symbol -> static boolean processRoutine0x0300 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/src/OBDLocking.c;200
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean processRoutine0x0300 - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/src/OBDLocking.c;200
error;trace;satisfy or design decision tag missing for symbol -> static boolean processRoutine0x0300 - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/src/OBDLocking.c;200
error;security;security rating missing for symbol -> static void processOBDLocking - (boolean deactivationRequestedBy0x0300) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/src/OBDLocking.c;249
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static void processOBDLocking - (boolean deactivationRequestedBy0x0300) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/src/OBDLocking.c;249
error;trace;satisfy or design decision tag missing for symbol -> static void processOBDLocking - (boolean deactivationRequestedBy0x0300)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/src/OBDLocking.c;249
error;security;security rating missing for symbol -> void OBD_locking_update - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/inc/OBDLocking.h;107
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void OBD_locking_update - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/inc/OBDLocking.h;107
error;security;security rating missing for symbol -> boolean Get_OBD_locking_active - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/inc/OBDLocking.h;162
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean Get_OBD_locking_active - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/inc/OBDLocking.h;162
error;security;security rating missing for symbol -> boolean OBD_Locking_Start_0x0300_routine - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/inc/OBDLocking.h;214
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> boolean OBD_Locking_Start_0x0300_routine - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/OBDLocking/c/inc/OBDLocking.h;214
