level;type;description;file;line 
error;brief;brief description missing for symbol -> uint32 T_ClearDiagInfoDate::reserved -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/inc/DiagAppl_DCM_Service14.h;60
error;brief;brief description missing for symbol -> uint32 T_ClearDiagInfoDate::u8_year -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/inc/DiagAppl_DCM_Service14.h;61
error;brief;brief description missing for symbol -> uint32 T_ClearDiagInfoDate::u8_month -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/inc/DiagAppl_DCM_Service14.h;62
error;brief;brief description missing for symbol -> uint32 T_ClearDiagInfoDate::u8_day -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/inc/DiagAppl_DCM_Service14.h;63
error;brief;brief description missing for symbol -> uint32 T_ClearDiagInfoDate::u8_hours -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/inc/DiagAppl_DCM_Service14.h;64
error;brief;brief description missing for symbol -> uint32 T_ClearDiagInfoDate::u8_minutes -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/inc/DiagAppl_DCM_Service14.h;65
error;brief;brief description missing for symbol -> uint32 T_ClearDiagInfoDate::u8_seconds -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/inc/DiagAppl_DCM_Service14.h;66
error;security;security rating missing for symbol -> Std_ReturnType Dcm_APPL_SessionControl - (Dcm_OpStatusType OpStatus, Dcm_MsgContextType *pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service10.c;158
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Dcm_APPL_SessionControl - (Dcm_OpStatusType OpStatus, Dcm_MsgContextType *pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service10.c;158
error;enum;enum variable<K_DIAG_HARD_RESET> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service11.c;71
error;enum;enum variable<K_DIAG_KEYOFFON_RESET> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service11.c;71
error;security;security rating missing for symbol -> Std_ReturnType Dcm_APPL_ResetService - (Dcm_OpStatusType OpStatus, Dcm_MsgContextType *pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service11.c;156
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Dcm_APPL_ResetService - (Dcm_OpStatusType OpStatus, Dcm_MsgContextType *pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service11.c;156
error;security;security rating missing for symbol -> Std_ReturnType Dcm_APPL_ClearDiagnosticInfo - (Dcm_OpStatusType OpStatus, Dcm_MsgContextType *pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;203
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> Std_ReturnType Dcm_APPL_ClearDiagnosticInfo - (Dcm_OpStatusType OpStatus, Dcm_MsgContextType *pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;203
error;security;security rating missing for symbol -> static Std_ReturnType DCM_Get_NVM_Writing_Statuses - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;249
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType DCM_Get_NVM_Writing_Statuses - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;249
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static Std_ReturnType DCM_Get_NVM_Writing_Statuses - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;249
error;security;security rating missing for symbol -> static Std_ReturnType DCM_Clear_DTCs_Date_Request_Checker - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;295
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType DCM_Clear_DTCs_Date_Request_Checker - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;295
error;security;security rating missing for symbol -> static Std_ReturnType DCM_Serive14_NVM_Finished_Write - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;340
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType DCM_Serive14_NVM_Finished_Write - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;340
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> static Std_ReturnType DCM_Serive14_NVM_Finished_Write - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;340
error;security;security rating missing for symbol -> static Std_ReturnType DCM_Clear_DTC_Status_Handler - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;387
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType DCM_Clear_DTC_Status_Handler - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;387
error;security;security rating missing for symbol -> static Std_ReturnType DCM_Update_Clearing_DTCs_Date - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;433
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static Std_ReturnType DCM_Update_Clearing_DTCs_Date - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;433
error;security;security rating missing for symbol -> static boolean DCM_Service14_Are_Preconditions_Valid - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;479
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> static boolean DCM_Service14_Are_Preconditions_Valid - (Dcm_MsgContextType *const pMsgContext) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;479
error;security;security rating missing for symbol -> void DecClrDtc_DecCntr - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;756
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void DecClrDtc_DecCntr - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;756
error;trace;satisfy or design decision tag missing for symbol -> void DecClrDtc_DecCntr - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;756
error;test;No test cases linked or code review tag missing for symbol -> void DecClrDtc_DecCntr - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UDS_Services_Chorus/UDSServices/c/src/DiagAppl_DCM_Service14.c;756
