level;type;description;file;line 
error;brief;brief description missing for symbol -> TModulIdent tag_TUdsTaskData::ModulIdentifier -  variable;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;225
error;security;security rating missing for symbol -> TStdIntfRetType UdsTaskSetup - (TModulIdent ModulIdentifier, TStartmode Startmode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;312
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> TStdIntfRetType UdsTaskSetup - (TModulIdent ModulIdentifier, TStartmode Startmode) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;312
error;trace;satisfy or design decision tag missing for symbol -> TStdIntfRetType UdsTaskSetup - (TModulIdent ModulIdentifier, TStartmode Startmode)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;312
error;security;security rating missing for symbol -> TStdIntfRetType UdsTaskStartStop - (TStartStopNotify Notify) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;351
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> TStdIntfRetType UdsTaskStartStop - (TStartStopNotify Notify) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;351
error;trace;satisfy or design decision tag missing for symbol -> TStdIntfRetType UdsTaskStartStop - (TStartStopNotify Notify)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;351
error;security;security rating missing for symbol -> TStdIntfRetType UdsTaskIsAlive - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;390
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> TStdIntfRetType UdsTaskIsAlive - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;390
error;trace;satisfy or design decision tag missing for symbol -> TStdIntfRetType UdsTaskIsAlive - (void)function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;390
error;param;param <void> has no description;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;555
error;security;security rating missing for symbol -> void OS_TASK_DiagTask - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;555
error;verification-criteria;verification criteria tag (description or <N/A>) missing for symbol -> void OS_TASK_DiagTask - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;555
warning;trace;tag @designdecision is deprecated. Use @designdecision{justficiation} for symbol -> void OS_TASK_DiagTask - (void) function;D:/icas1/sdd-check-in/sw.sys.chorus_main_build/mc_sw/cdd/UdsTask/UdsTask/Evo/src/UdsTask.c;555
